# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_1874.dat PSPL     2460945.318 0.804140 49.304 0.000000 0.00000 0.00000 0.00000 2536.53067 0.000 0.000
WFIRST_0944.dat PSPL     2460950.787 0.668558 72.433 0.000000 0.00000 0.00000 0.00000 29.45627 0.000 0.000
WFIRST_1937.dat PSPL     2460961.540 0.356318 86.214 0.000000 0.00000 0.00000 0.00000 74.58632 0.000 0.000
WFIRST_1209.dat PSPL     2460966.858 0.256773 30.909 0.000000 0.00000 0.00000 0.00000 49.26036 0.000 0.000
WFIRST_1604.dat PSPL     2460947.228 0.217868 28.834 0.000000 0.00000 0.00000 0.00000 2130.92549 0.000 0.000
WFIRST_0299.dat PSPL     2460968.109 0.961625 86.620 0.000000 0.00000 0.00000 0.00000 4147.09215 0.000 0.000
WFIRST_2394.dat PSPL     2460959.060 0.195726 10.990 0.000000 0.00000 0.00000 0.00000 38.22828 0.000 0.000
WFIRST_0359.dat PSPL     2460950.328 0.075951 82.587 0.000000 0.00000 0.00000 0.00000 4553.89400 0.000 0.000
WFIRST_0162.dat PSPL     2460970.039 0.266770 40.893 0.000000 0.00000 0.00000 0.00000 2125.07567 0.000 0.000
WFIRST_0878.dat PSPL     2460969.444 0.882698 61.407 0.000000 0.00000 0.00000 0.00000 43.04142 0.000 0.000
WFIRST_2388.dat PSPL     2460955.455 0.148167 15.003 0.000000 0.00000 0.00000 0.00000 31.64017 0.000 0.000
WFIRST_0947.dat PSPL     2460955.839 0.713900 53.660 0.000000 0.00000 0.00000 0.00000 115.81396 0.000 0.000
WFIRST_1147.dat PSPL     2460958.795 0.218213 70.564 0.000000 0.00000 0.00000 0.00000 928.44873 0.000 0.000
WFIRST_2122.dat PSPL     2460948.890 0.417789 53.751 0.000000 0.00000 0.00000 0.00000 32.73025 0.000 0.000
WFIRST_0380.dat PSPL     2460956.796 0.011001 49.962 0.000000 0.00000 0.00000 0.00000 213.87167 0.000 0.000
WFIRST_0013.dat Binary   2460951.691 0.107383 16.151 0.001458 0.03749 -0.42451 2.15073 2928.94804 0.000 0.000
WFIRST_0399.dat Binary   2460952.924 0.172130 18.389 0.008084 0.08767 -0.34584 3.07927 330.28816 0.000 0.000
WFIRST_2275.dat Binary   2460961.335 0.137102 73.850 0.000475 0.00476 -0.90686 1.89995 4713.10054 0.000 0.000
WFIRST_1734.dat Binary   2460942.624 0.142373 14.453 0.000323 0.10152 -0.24369 -1.39207 865.33638 0.000 0.000
WFIRST_0374.dat Binary   2460955.363 0.129732 56.456 0.007879 -0.04387 -0.28964 -2.85539 345.57103 0.000 0.000
WFIRST_2294.dat GLPlanet 2460955.129 0.068209 26.821 0.004161 0.13171 -2.04448 -3.03062 3463.61469 0.000 -16.417
WFIRST_2152.dat GLPlanet 2460961.188 0.267484 30.183 0.009465 0.10948 -2.08795 -2.58890 107.89442 0.000 -13.089
WFIRST_1780.dat GLPlanet 2460948.581 0.396629 16.481 0.006268 0.17266 -2.01501 -0.50743 2790.88911 0.000 11.757
WFIRST_1079.dat GLPlanet 2460942.274 0.025171 44.979 0.007331 0.08516 -2.44061 -0.06382 1130.22039 0.000 17.716
WFIRST_1302.dat GLPlanet 2460949.318 0.351719 59.892 0.004506 0.10269 -2.76530 -2.31323 1743.17720 0.000 -19.328
WFIRST_0424.dat GLPlanet 2460961.741 0.228306 35.154 0.003471 0.11471 -2.90685 -0.44139 770.96790 0.000 16.987
WFIRST_1082.dat GLPlanet 2460968.401 0.370675 14.551 0.004129 0.23174 -2.07438 -2.80383 147.27290 0.000 -15.357
WFIRST_0099.dat GLPlanet 2460966.450 0.333155 55.134 0.003200 0.08606 -2.38781 -2.15312 3040.48838 0.000 -12.095
WFIRST_1008.dat GLPlanet 2460966.554 0.294207 49.043 0.005712 0.08274 -2.80808 -0.87483 949.14409 0.000 12.054
WFIRST_0279.dat GLPlanet 2460955.839 0.262440 31.211 0.007624 0.20058 -2.57216 -0.27782 1615.71384 0.000 28.721
WFIRST_0433.dat GLPlanet 2460940.545 0.256395 11.098 0.000773 0.22206 -2.96020 -0.24249 1425.81102 0.000 11.503
WFIRST_2371.dat GLPlanet 2460949.625 0.119600 18.507 0.001588 0.27111 -2.83413 -3.05163 168.02895 0.000 -24.537
WFIRST_1176.dat GLPlanet 2460954.100 0.267332 47.393 0.005596 0.13895 -2.73522 -2.71833 404.70750 0.000 -28.124
WFIRST_1424.dat GLPlanet 2460968.005 0.436784 90.371 0.001051 0.09887 -2.25608 -1.88485 87.13558 0.000 -12.821
WFIRST_2414.dat GLPlanet 2460960.814 0.005050 8.164 0.002655 0.26398 -2.20627 -3.13768 4250.69015 0.000 -10.547
WFIRST_1495.dat NCPlanet 2460958.592 0.208804 9.477 0.000694 0.24976 -2.38206 -2.96970 89.47946 0.000 -11.342
WFIRST_1835.dat NCPlanet 2460946.096 0.052929 10.752 0.000122 0.37730 -2.53863 -0.02685 88.04931 0.000 21.115
WFIRST_1328.dat NCPlanet 2460965.402 0.186444 31.397 0.005429 0.08584 -2.59832 -0.46468 1729.85256 0.000 11.167
WFIRST_1433.dat NCPlanet 2460965.391 0.176110 33.559 0.002544 0.13653 -2.44116 -0.27295 158.07176 0.000 20.655
WFIRST_0596.dat NCPlanet 2460965.759 0.245932 46.987 0.005902 0.09833 -2.85936 -0.54579 4811.56069 0.000 18.342
WFIRST_1779.dat HMPlanet 2460946.942 0.000489 72.974 0.000277 0.65688 -2.88483 2.69623 78.24289 0.000 0.000
WFIRST_0323.dat HMPlanet 2460956.445 0.000686 41.813 0.002560 0.38393 -2.96030 -2.30404 362.59926 0.000 0.000
WFIRST_1566.dat HMPlanet 2460955.471 0.000756 17.452 0.000883 0.67046 -2.23467 1.62619 143.01663 0.000 0.000
WFIRST_2473.dat HMPlanet 2460945.905 0.000284 21.675 0.000525 0.71191 -2.28583 0.95199 82.78927 0.000 0.000
WFIRST_0733.dat HMPlanet 2460944.344 0.000131 57.018 0.000057 0.70119 -2.67167 -1.76124 580.17994 0.000 0.000
