# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_1072.dat PSPL     2460941.876 0.976662 73.528 0.000000 0.00000 0.00000 0.00000 45.82462 0.000 0.000
WFIRST_0630.dat PSPL     2460947.700 0.371869 8.281 0.000000 0.00000 0.00000 0.00000 1991.36551 0.000 0.000
WFIRST_1881.dat PSPL     2460941.454 0.805548 96.374 0.000000 0.00000 0.00000 0.00000 192.57321 0.000 0.000
WFIRST_1134.dat PSPL     2460951.010 0.842201 12.108 0.000000 0.00000 0.00000 0.00000 2943.22632 0.000 0.000
WFIRST_1325.dat PSPL     2460940.269 0.805980 16.464 0.000000 0.00000 0.00000 0.00000 1353.67207 0.000 0.000
WFIRST_1866.dat PSPL     2460947.679 0.491201 24.426 0.000000 0.00000 0.00000 0.00000 1211.95185 0.000 0.000
WFIRST_1437.dat PSPL     2460940.103 0.224868 5.017 0.000000 0.00000 0.00000 0.00000 1532.19742 0.000 0.000
WFIRST_1853.dat PSPL     2460941.432 0.508709 92.428 0.000000 0.00000 0.00000 0.00000 653.92669 0.000 0.000
WFIRST_0188.dat PSPL     2460957.479 0.455238 80.579 0.000000 0.00000 0.00000 0.00000 240.40487 0.000 0.000
WFIRST_0129.dat PSPL     2460941.978 0.503295 31.502 0.000000 0.00000 0.00000 0.00000 840.66387 0.000 0.000
WFIRST_1761.dat PSPL     2460958.724 0.464835 37.747 0.000000 0.00000 0.00000 0.00000 29.72160 0.000 0.000
WFIRST_0564.dat PSPL     2460953.106 0.495835 75.447 0.000000 0.00000 0.00000 0.00000 249.61155 0.000 0.000
WFIRST_0943.dat PSPL     2460960.489 0.418105 54.010 0.000000 0.00000 0.00000 0.00000 101.04612 0.000 0.000
WFIRST_1540.dat PSPL     2460956.117 0.774475 54.275 0.000000 0.00000 0.00000 0.00000 671.89006 0.000 0.000
WFIRST_0485.dat PSPL     2460966.801 0.712133 31.741 0.000000 0.00000 0.00000 0.00000 36.58697 0.000 0.000
WFIRST_0598.dat Binary   2460965.766 0.187025 24.673 0.000632 0.03468 -0.42452 1.53808 619.11486 0.000 0.000
WFIRST_2148.dat Binary   2460945.845 0.030217 42.245 0.000542 -0.04091 -0.04555 -2.89750 24.29010 0.000 0.000
WFIRST_2175.dat Binary   2460956.093 0.085372 48.817 0.002097 0.04751 -0.33331 2.86478 4277.49658 0.000 0.000
WFIRST_1678.dat Binary   2460968.690 0.162867 72.452 0.002387 -0.01028 -0.82306 1.72097 3298.84651 0.000 0.000
WFIRST_1364.dat Binary   2460947.223 0.167357 27.487 0.000173 -0.04742 -0.11287 2.87708 1605.80628 0.000 0.000
WFIRST_1927.dat GLPlanet 2460961.350 0.474319 23.895 0.008090 -0.16206 -2.31395 0.43713 609.18633 0.000 -14.848
