2455260.86715 19.085 0.058 3.90 667.0
2455261.80200 19.041 0.066 4.43 660.0
2455262.84044 18.952 0.156 6.34 2937.0
2455264.82510 19.164 0.073 4.81 581.0
2455264.87819 19.119 0.077 5.19 608.0
2455264.89554 19.069 0.071 5.06 659.0
2455265.80111 19.014 0.062 4.71 555.0
2455266.78918 19.022 0.068 5.22 542.0
2455267.83099 19.023 0.063 5.18 470.0
2455268.80224 18.978 0.063 5.47 475.0
2455269.79712 19.018 0.054 4.58 464.0
2455270.84149 19.175 0.066 4.08 459.0
2455271.79655 18.943 0.055 4.94 492.0
2455272.80340 19.062 0.068 5.20 460.0
2455274.80674 19.133 0.071 5.50 473.0
2455275.79249 19.131 0.076 4.74 609.0
2455276.82739 18.983 0.051 4.27 440.0
2455277.79353 19.007 0.069 5.49 498.0
2455278.80358 19.055 0.065 4.99 478.0
2455279.80483 19.062 0.069 5.13 467.0
2455280.85638 19.020 0.050 3.67 473.0
2455281.79132 19.156 0.065 4.59 492.0
2455282.77183 18.980 0.064 4.42 662.0
2455283.77297 19.151 0.095 5.93 685.0
2455284.77498 19.150 0.083 5.08 785.0
2455285.77068 19.027 0.080 5.12 896.0
2455286.76186 19.028 0.075 4.51 850.0
2455287.83149 19.048 0.068 4.78 707.0
2455288.76484 19.069 0.071 4.10 814.0
2455292.83500 18.957 0.099 4.93 2068.0
2455293.84293 19.263 0.073 4.42 477.0
2455294.76337 19.126 0.057 4.15 427.0
2455295.76486 19.114 0.065 5.12 405.0
2455296.80845 19.005 0.047 3.89 404.0
2455297.83963 18.984 0.041 3.38 394.0
2455298.87880 18.946 0.047 4.23 420.0
2455299.86276 19.240 0.052 4.04 395.0
2455301.79151 18.978 0.048 4.01 432.0
2455306.72452 18.997 0.059 5.34 465.0
2455309.81390 19.103 0.061 4.66 434.0
2455310.79144 19.011 0.066 5.88 457.0
2455314.86284 19.046 0.083 5.15 886.0
2455319.88836 18.978 0.112 4.05 3256.0
2455320.78225 19.125 0.081 5.59 670.0
2455321.72915 18.916 0.061 5.75 576.0
2455321.92324 18.951 0.064 4.82 680.0
2455323.84069 19.086 0.067 4.80 624.0
2455325.68896 19.132 0.061 4.42 467.0
2455325.88922 19.100 0.060 4.24 531.0
2455327.76112 19.123 0.063 4.38 431.0
2455328.62459 19.086 0.063 4.35 586.0
2455328.88438 18.910 0.052 4.24 530.0
2455334.81019 19.009 0.052 4.18 450.0
2455335.77608 19.024 0.065 5.59 471.0
2455336.84752 19.052 0.061 4.46 505.0
2455337.87531 19.158 0.085 5.72 605.0
2455338.90356 18.919 0.090 7.10 670.0
2455339.90938 19.028 0.121 7.58 835.0
2455340.85089 18.883 0.072 5.88 679.0
2455341.74568 19.011 0.062 4.53 619.0
2455342.61047 19.162 0.102 5.52 922.0
2455343.63038 18.986 0.087 5.31 1088.0
2455350.65940 18.985 0.082 6.63 527.0
2455351.74987 19.060 0.064 4.74 555.0
2455352.76551 19.063 0.057 3.94 495.0
2455354.67847 19.037 0.071 5.98 465.0
2455355.61945 18.836 0.073 6.67 562.0
2455357.61719 19.036 0.079 6.35 537.0
2455358.76528 18.925 0.064 5.60 484.0
2455359.87436 19.127 0.091 5.92 656.0
2455362.80509 19.116 0.083 5.71 557.0
2455365.84589 18.916 0.068 5.64 551.0
2455369.80254 18.970 0.078 4.92 1036.0
2455376.77746 19.099 0.074 4.69 692.0
2455378.54119 19.138 0.066 5.02 501.0
2455380.56010 18.990 0.055 4.96 385.0
2455381.70297 19.077 0.075 5.91 468.0
2455385.56927 19.043 0.049 4.09 431.0
2455386.50175 19.034 0.059 4.46 737.0
2455389.58574 18.998 0.057 5.46 370.0
2455390.56787 19.335 0.104 7.03 417.0
2455392.70623 18.955 0.059 5.35 384.0
2455393.71913 18.999 0.075 6.65 406.0
2455396.61586 19.141 0.074 5.53 465.0
2455397.67859 19.017 0.081 6.81 475.0
2455403.65106 19.039 0.062 3.90 814.0
2455404.52218 19.137 0.080 5.74 603.0
2455404.71944 18.943 0.075 5.57 671.0
2455405.73506 19.126 0.074 4.84 572.0
2455407.58873 18.973 0.071 6.15 418.0
2455408.50459 19.128 0.080 6.06 462.0
2455408.71171 19.125 0.074 5.49 489.0
2455409.66836 19.154 0.051 3.92 380.0
2455410.67178 19.039 0.065 5.52 406.0
2455411.70732 19.217 0.055 3.91 379.0
2455412.64542 19.046 0.068 5.49 470.0
2455413.70023 18.940 0.054 5.35 352.0
2455414.74719 18.900 0.052 5.45 428.0
2455418.61423 19.043 0.053 4.88 347.0
2455421.64272 19.037 0.060 5.51 362.0
2455425.55186 19.114 0.059 4.68 431.0
2455430.55173 19.119 0.082 5.03 682.0
2455431.54698 19.237 0.071 4.45 586.0
2455434.51134 19.070 0.089 6.80 532.0
2455435.48296 18.983 0.070 5.86 505.0
2455436.48090 19.061 0.088 6.89 502.0
2455438.51618 19.119 0.081 5.53 474.0
2455439.58436 19.103 0.081 5.95 454.0
2455443.59862 19.102 0.074 5.91 456.0
2455444.62391 19.213 0.091 6.29 474.0
2455446.50561 19.078 0.064 5.02 444.0
2455447.52211 19.066 0.073 6.22 436.0
2455450.53453 19.023 0.075 6.35 456.0
2455451.66433 19.368 0.080 5.35 414.0
2455458.59005 19.149 0.082 5.63 659.0
2455459.62119 18.997 0.066 5.98 706.0
2455461.50331 19.051 0.085 5.95 750.0
2455462.51816 19.054 0.069 4.77 586.0
2455465.52427 19.096 0.091 7.18 486.0
2455467.50410 19.136 0.068 5.07 507.0
2455468.57762 19.028 0.086 7.02 511.0
2455470.52849 19.048 0.067 4.69 497.0
2455471.53583 19.103 0.074 5.96 441.0
2455471.60059 19.128 0.068 5.17 478.0
2455472.56727 19.163 0.073 5.23 516.0
2455473.51741 19.090 0.082 6.33 500.0
2455476.50696 19.231 0.076 4.87 502.0
2455478.49507 19.038 0.070 5.19 506.0
2455479.52266 19.052 0.074 6.23 506.0
2455480.51892 19.141 0.085 5.96 530.0
2455485.53459 19.326 0.099 5.12 699.0
2455486.52093 19.018 0.078 5.01 705.0
2455487.50391 19.120 0.064 4.27 618.0
2455488.48785 19.200 0.124 4.86 1584.0
2455488.55413 19.084 0.097 6.28 820.0
2455489.54476 19.362 0.125 6.29 780.0
2455490.54080 18.963 0.097 6.71 832.0
2455492.53758 19.281 0.137 6.61 1008.0
2455495.49118 19.148 0.108 4.50 1635.0
2455497.49388 19.177 0.146 6.01 1809.0
2455499.49830 18.871 0.100 6.23 1200.0
2455502.51049 19.085 0.083 5.69 686.0
2455598.87579 19.267 0.094 6.38 536.0
2455599.88395 19.143 0.072 4.22 777.0
2455600.87453 19.140 0.060 4.35 519.0
2455616.89161 19.072 0.085 6.04 635.0
2455622.89088 19.055 0.044 3.92 361.0
2455625.82454 19.094 0.066 5.45 444.0
2455627.81749 19.144 0.069 5.57 423.0
2455628.90066 18.935 0.050 4.71 420.0
2455629.82804 18.934 0.056 5.42 399.0
2455631.85673 18.996 0.058 5.42 445.0
2455632.90734 18.996 0.068 5.03 687.0
2455633.81182 19.165 0.057 4.28 449.0
2455634.80557 19.066 0.062 5.35 418.0
2455637.84084 19.178 0.099 7.39 582.0
2455639.80502 18.986 0.066 5.24 637.0
2455639.88053 19.207 0.067 4.58 530.0
2455640.77773 19.106 0.089 5.78 763.0
2455640.85414 19.148 0.073 5.01 612.0
2455641.76908 19.026 0.067 5.02 701.0
2455641.89388 18.982 0.065 6.28 551.0
2455642.83341 19.050 0.063 4.79 651.0
2455643.76020 19.075 0.067 4.45 762.0
2455643.85824 19.129 0.059 4.05 639.0
2455644.76410 19.011 0.108 5.72 1786.0
2455644.87908 19.080 0.063 5.03 637.0
2455648.74991 18.950 0.074 6.95 450.0
2455648.85646 19.132 0.059 4.81 414.0
2455649.75573 19.148 0.064 5.61 367.0
2455649.86237 19.139 0.065 5.80 371.0
2455650.74780 19.220 0.066 5.24 387.0
2455650.84923 18.970 0.051 5.25 379.0
2455651.76846 19.047 0.052 4.67 389.0
2455651.88186 19.089 0.064 5.72 410.0
2455652.81005 19.043 0.049 4.58 356.0
2455654.78147 18.987 0.053 4.70 405.0
2455654.87162 19.076 0.055 5.17 370.0
2455655.78280 19.080 0.062 5.08 437.0
2455655.86561 19.041 0.052 5.03 380.0
2455656.81685 19.017 0.051 4.39 434.0
2455657.77922 18.967 0.043 3.81 399.0
2455657.86335 19.015 0.058 5.58 400.0
2455658.77442 19.091 0.072 6.29 548.0
2455658.87122 19.107 0.060 5.21 369.0
2455659.72803 19.113 0.065 5.47 426.0
2455659.80489 18.959 0.053 5.35 398.0
2455659.89389 19.102 0.055 4.72 372.0
2455660.77749 19.026 0.058 5.93 370.0
2455660.87651 19.161 0.078 6.36 379.0
2455662.76959 19.155 0.081 6.74 434.0
2455662.86960 19.175 0.061 4.69 463.0
2455663.77220 19.218 0.066 5.63 406.0
2455664.81546 19.024 0.061 5.44 430.0
2455664.91953 19.013 0.061 5.04 473.0
2455665.80211 19.048 0.053 4.82 368.0
2455665.91395 18.976 0.047 4.26 409.0
2455667.88010 19.037 0.046 3.86 415.0
2455668.88848 19.042 0.074 4.47 1181.0
2455669.87834 18.924 0.053 4.14 667.0
2455670.85615 19.183 0.081 5.27 735.0
2455675.73566 19.017 0.061 4.62 597.0
2455675.92599 19.211 0.084 5.17 667.0
2455676.82905 19.010 0.050 4.62 412.0
2455677.77836 19.030 0.052 4.69 434.0
2455679.69916 19.091 0.068 5.52 446.0
2455679.88491 19.075 0.055 4.21 436.0
2455680.77322 19.055 0.071 6.06 420.0
2455681.67655 18.965 0.061 5.63 479.0
2455681.85999 18.893 0.070 6.67 483.0
2455682.75199 19.079 0.053 4.58 439.0
2455683.69899 19.085 0.057 4.83 458.0
2455683.92080 19.154 0.054 3.98 477.0
2455684.83447 19.151 0.064 5.05 433.0
2455685.80774 19.043 0.042 3.67 387.0
2455686.71848 19.044 0.053 4.88 439.0
2455686.90419 19.045 0.068 5.69 465.0
2455687.79641 19.056 0.059 5.38 416.0
2455689.70224 19.040 0.051 4.95 411.0
2455690.70623 19.017 0.055 5.34 372.0
2455691.62538 19.065 0.089 7.21 758.0
2455691.84135 19.138 0.060 4.67 455.0
2455692.74405 18.948 0.053 5.22 454.0
2455692.89877 19.203 0.068 4.54 614.0
2455693.76785 19.006 0.044 3.98 447.0
2455693.92414 19.122 0.070 5.51 659.0
2455694.76842 19.077 0.065 5.40 533.0
2455694.92746 19.029 0.066 5.81 561.0
2455695.81537 19.189 0.062 4.48 531.0
2455696.62010 19.239 0.094 5.61 787.0
2455696.79960 19.118 0.066 4.84 547.0
2455697.62940 18.896 0.066 5.05 800.0
2455697.80700 19.100 0.066 4.54 691.0
2455698.63461 19.094 0.099 5.51 1232.0
2455698.80413 18.953 0.074 5.49 990.0
2455703.73295 18.974 0.090 8.13 620.0
2455705.76916 19.051 0.069 5.85 463.0
