 85385 1619.01  450.77 19.385  3.882 15.502  86   0 0.051 8368  30 0.008
 85402 1630.10  542.62 18.515  2.992 15.523  86   0 0.024 8370  28 0.007
 85649 1640.81  463.00 19.255  2.550 16.705  86   0 0.060 8383   7 0.021
 85674 1614.54  493.34 99.999  9.999 16.696   0   0 9.999 8354  35 0.047
 85707 1644.19  548.25 18.997  2.484 16.513  85   0 0.031 8376  14 0.013
 85956 1637.64  430.87 19.238  1.643 17.595  83   2 0.039 8351  29 0.044
 85966 1615.84  448.07 99.999  9.999 17.208   0   0 9.999 8383  11 0.032
 85970 1620.59  459.30 21.095  2.533 18.562  84   1 0.187 8358  15 0.069
 86010 1628.49  522.77 99.999  9.999 17.079   0   0 9.999 8353  34 0.030
 86028 1624.14  548.27 18.919  1.286 17.632  85   0 0.042 8368  15 0.030
 86078 1647.56  433.16 19.887  1.507 18.380  85   0 0.058 8369   9 0.057
 86412 1642.90  414.75 20.367  2.409 17.957  85   0 0.086 8375  10 0.036
 86413 1641.88  410.76 20.987  2.733 18.254  84   1 0.150 8367  13 0.044
 86429 1619.75  427.83 19.825  1.824 18.002  84   0 0.048 8364  20 0.031
 86436 1621.40  432.72 20.447  2.387 18.059  85   0 0.096 8360  19 0.034
 86457 1644.15  447.91 20.872  2.463 18.409  86   0 0.141 8367  14 0.050
 86496 1621.52  487.16 99.999  9.999 15.960   0   0 9.999 8337  49 0.028
 86592 1642.27  435.47 99.999  9.999 19.414   0   0 9.999 8362   8 0.112
 86638 1620.35  437.16 99.999  9.999 19.609   0   0 9.999 8340  14 0.136
 86651 1618.77  555.01 99.999  9.999 19.226   0   0 9.999 8360  13 0.096
 87363 1639.51  405.31 20.669  1.654 19.015  85   0 0.113 8362   7 0.124
 87368 1648.24  406.42 21.136  2.311 18.825  85   0 0.187 8364  16 0.078
 87396 1631.28  414.28 21.071  1.655 19.416  84   1 0.143 8353  16 0.106
 87417 1620.83  422.46 20.827  1.972 18.855  85   0 0.110 8365  18 0.067
 87418 1646.82  421.15 99.999  9.999 19.168   0   0 9.999 8354  13 0.120
 87435 1630.39  426.41 21.288  2.133 19.154  83   0 0.182 8358  12 0.082
 87476 1638.66  445.42 21.621  2.420 19.201  85   0 0.363 8375   0 0.173
 87483 1622.36  444.54 99.999  9.999 19.540   0   0 9.999 8365  11 0.158
 87491 1628.97  450.55 21.049  2.314 18.735  85   0 0.163 8368   8 0.071
 87499 1644.95  452.42 99.999  9.999 18.833   0   0 9.999 8362  16 0.073
 87506 1622.39  455.54 99.999  9.999 18.727   0   0 9.999 8362  14 0.092
 87509 1638.49  458.76 20.462  2.031 18.431  85   0 0.211 8371   6 0.125
 87532 1636.06  470.23 99.999  9.999 18.732   0   0 9.999 8378   0 0.249
 87533 1636.67  466.02 20.701  1.739 18.962  86   0 0.339 8377   0 0.247
 87541 1645.78  469.22 99.999  9.999 18.567   0   0 9.999 8374   9 0.108
 87551 1633.77  473.66 99.999  9.999 18.680   0   0 9.999 8374  14 0.202
 87564 1624.97  476.71 99.999  9.999 18.697   0   0 9.999 8351  24 0.175
 87565 1644.21  477.09 99.999  9.999 18.928   0   0 9.999 8369  10 0.264
 87635 1617.64  505.36 99.999  9.999 18.929   0   0 9.999 8357  22 0.272
 87692 1643.72  519.66 99.999  9.999 19.003   0   0 9.999 8360  25 0.186
 87734 1643.57  531.51 99.999  9.999 19.195   0   0 9.999 8327  23 0.123
 87741 1614.15  534.64 20.757  2.165 18.592  84   0 0.187 8363  14 0.059
 87786 1642.90  555.27 20.696  2.009 18.687  85   0 0.128 8370   9 0.063
 87851 1615.51  555.11 20.968  1.704 19.263  85   0 0.147 8361  11 0.103
 87906 1647.18  473.40 99.999  9.999 19.339   0   0 9.999 8366   8 0.249
 88998 1643.99  404.96 99.999  9.999 20.171   0   0 9.999 8081   6 0.284
 89007 1620.90  409.45 21.790  2.150 19.640  86   0 0.349 8355  15 0.122
 89012 1634.19  411.80 99.999  9.999 20.126   0   0 9.999 8312   1 0.236
 89028 1628.52  415.60 99.999  9.999 19.673   0   0 9.999 8346  14 0.132
 89038 1634.66  416.02 99.999  9.999 19.489   0   0 9.999 8362   6 0.145
 89042 1623.21  419.76 99.999  9.999 19.622   0   0 9.999 8350  19 0.126
 89043 1631.26  418.31 99.999  9.999 19.841   0   0 9.999 8343  12 0.154
 89044 1639.15  420.89 21.723  2.411 19.313  84   0 0.316 8361   1 0.144
 89066 1620.82  424.90 99.999  9.999 19.226   0   0 9.999 8370  15 0.095
 89080 1625.71  427.69 99.999  9.999 19.392   0   0 9.999 8357  16 0.105
 89122 1625.97  440.56 99.999  9.999 19.924   0   0 9.999 8291  14 0.184
 89123 1633.45  440.55 99.999  9.999 19.828   0   0 9.999 8312  10 0.179
 89177 1634.67  456.70 21.135  2.109 19.026  84   0 0.287 8368   5 0.142
 89190 1616.63  457.67 99.999  9.999 19.717   0   0 9.999 8313  12 0.186
 89195 1627.79  459.80 99.999  9.999 20.345   0   0 9.999 7998   0 0.310
 89206 1647.84  464.02 99.999  9.999 19.622   0   0 9.999 8316   7 0.209
 89215 1628.76  466.71 99.999  9.999 20.361   0   0 9.999 8009   0 0.432
 89221 1623.57  470.87 99.999  9.999 19.947   0   0 9.999 8162   0 0.332
 89229 1617.61  473.57 99.999  9.999 19.364   0   0 9.999 8337   6 0.195
 89247 1636.83  477.39 99.999  9.999 18.768   0   0 9.999 8375   0 0.386
 89248 1640.64  475.85 99.999  9.999 19.256   0   0 9.999 8339   0 0.435
 89257 1620.35  478.70 99.999  9.999 18.864   0   0 9.999 8356  12 0.216
 89258 1631.88  477.53 99.999  9.999 19.196   0   0 9.999 8284   4 0.360
 89308 1616.66  488.04 99.999  9.999 19.307   0   0 9.999 8344   6 0.376
 89421 1618.36  520.69 99.999  9.999 19.579   0   0 9.999 8320   0 0.332
 89422 1646.97  519.62 99.999  9.999 19.421   0   0 9.999 8348  19 0.218
 89434 1644.61  523.76 99.999  9.999 19.756   0   0 9.999 8277   6 0.274
 89441 1623.47  524.31 99.999  9.999 19.804   0   0 9.999 8344   1 0.262
 89447 1630.96  526.73 99.999  9.999 19.705   0   0 9.999 8255   2 0.257
 89456 1620.22  529.22 99.999  9.999 19.463   0   0 9.999 8331  12 0.147
 89466 1629.68  532.41 99.999  9.999 19.431   0   0 9.999 8240  10 0.207
 89471 1649.79  536.97 21.430  1.936 19.494  85   0 0.263 8327   8 0.178
 89476 1642.12  535.22 20.878  1.581 19.296  84   0 0.197 8337  13 0.130
 89500 1645.70  540.66 99.999  9.999 20.131   0   0 9.999 8251   3 0.288
 89502 1614.59  543.03 99.999  9.999 19.490   0   0 9.999 8334   6 0.156
 89529 1648.40  549.73 99.999  9.999 19.801   0   0 9.999 8316   4 0.254
 89531 1631.75  551.14 99.999  9.999 19.943   0   0 9.999 8293   7 0.219
 89543 1638.85  554.45 99.999  9.999 19.741   0   0 9.999 8349  12 0.164
 89562 1646.10  559.11 99.999  9.999 20.349   0   0 9.999 8302   6 0.264
 89604 1620.72  557.77 99.999  9.999 20.116   0   0 9.999 8295   6 0.241
 90122 1625.59  410.34 99.999  9.999 20.379   0   0 9.999 8292   4 0.244
 90124 1636.81  409.83 99.999  9.999 20.677   0   0 9.999 8011   0 0.456
 90147 1629.17  421.97 99.999  9.999 20.220   0   0 9.999 8310  12 0.215
 90174 1636.97  435.25 99.999  9.999 20.070   0   0 9.999 8294   0 0.335
 90181 1639.49  441.43 99.999  9.999 20.445   0   0 9.999 8262   0 0.383
 90196 1637.20  448.33 99.999  9.999 20.006   0   0 9.999 8322   0 0.356
 90213 1648.45  459.47 99.999  9.999 20.316   0   0 9.999 8168   0 0.300
 90231 1621.09  468.40 99.999  9.999 20.939   0   0 9.999 6581   0 0.516
 90315 1639.19  520.23 99.999  9.999 20.281   0   0 9.999 7977   0 0.614
 90330 1648.02  531.15 99.999  9.999 19.863   0   0 9.999 8246   6 0.238
 90339 1618.57  535.53 99.999  9.999 19.746   0   0 9.999 8307   9 0.193
 90352 1638.66  543.64 99.999  9.999 20.463   0   0 9.999 8176   2 0.356
 90360 1615.55  550.30 99.999  9.999 20.553   0   0 9.999 8155   1 0.306
 90462 1643.93  819.08 17.013  2.400 14.613  86   0 0.009 8337  72 0.005
 90517 1639.26  664.76 19.039  3.268 15.771  85   0 0.035 8376  27 0.009
 90530 1618.33  725.66 18.666  2.629 16.037  85   0 0.019 8375  28 0.008
 90547 1621.29  801.70 18.433  3.162 15.271  86   0 0.020 8365  43 0.006
 90634 1615.11  578.57 19.142  2.675 16.467  85   0 0.029 8374  20 0.011
 90669 1646.47  634.71 19.351  2.652 16.699  86   0 0.033 8382  13 0.016
 90692 1614.55  666.24 19.339  2.635 16.704  85   0 0.037 8388  11 0.014
 90704 1617.02  680.84 19.436  2.666 16.770  85   0 0.038 8380  19 0.015
 90705 1646.24  682.76 18.660  2.240 16.421  85   0 0.022 8381  21 0.011
 90746 1619.04  748.20 19.429  2.759 16.670  85   0 0.039 8379  20 0.012
 90749 1629.07  753.54 18.837  2.499 16.338  85   0 0.024 8370  34 0.010
 90762 1649.47  777.07 19.220  2.767 16.453  85   0 0.030 8387  17 0.011
 90786 1645.60  801.58 19.117  2.678 16.439  85   0 0.029 8386  20 0.012
 90797 1647.81  815.84 19.275  2.537 16.737  85   0 0.044 8389  14 0.029
 90806 1633.32  838.14 19.511  2.792 16.719  85   0 0.046 8383  19 0.014
 90810 1622.38  846.00 19.134  2.653 16.481  85   1 0.030 8386  19 0.011
 90816 1646.38  855.21 18.988  2.812 16.176  85   0 0.022 8395  16 0.009
 91005 1619.16  665.52 20.145  2.729 17.416  85   0 0.077 8382  14 0.023
 91010 1629.85  749.35 19.580  2.216 17.364  85   0 0.046 8381  16 0.023
 91036 1645.28  566.76 19.008  1.761 17.248  84   1 0.027 8370  17 0.018
 91047 1637.95  594.45 20.229  2.685 17.543  84   0 0.061 8371  14 0.021
 91064 1644.68  638.43 19.425  2.662 16.763  85   0 0.037 8376  16 0.018
 91087 1615.53  670.74 19.405  1.849 17.556  85   0 0.034 8383  14 0.031
 91090 1626.98  678.00 20.409  2.629 17.780  85   0 0.088 8375  17 0.026
 91102 1617.55  694.31 19.821  2.747 17.074  85   0 0.054 8376  19 0.015
 91181 1627.58  851.29 20.108  2.721 17.386  85   0 0.083 8395   9 0.041
 91347 1625.64  750.65 20.048  2.159 17.889  85   0 0.072 8386  12 0.037
 91359 1621.52  696.21 20.156  1.336 18.820  85   0 0.068 8376  15 0.069
