115632 1717.12  263.15 14.627  1.748 12.879  63   2 0.004 6270  13 0.008
115633 1674.45  270.92 14.145  1.685 12.460  72   0 0.005 6588  15 0.015
115634 1968.44  272.44 13.789  0.636 13.153  72   1 0.007 6643   7 0.005
115635 2062.68  273.24 13.578  0.851 12.727  48   1 0.016 5673   9 0.012
115636 1876.62  273.37 14.873  0.963 13.910  74   0 0.011 6674   3 0.007
115638 2034.05  331.65 14.261  0.705 13.556  78   0 0.006 7847   9 0.005
115640 2072.86  372.56 16.584  3.087 13.497  50   0 0.011 6618  11 0.005
115641 1813.88  374.77 17.747  4.216 13.530  85   0 0.023 8371   0 0.013
115649 1701.15  212.11 20.578  5.649 14.929  27   1 0.113 3435   3 0.014
115651 1736.43  262.90 15.510  0.870 14.640  65   0 0.005 6276   7 0.005
115652 1978.43  266.68 15.819  1.115 14.703  67   0 0.008 6378   5 0.007
115653 2016.87  268.35 19.643  4.708 14.935  66   0 0.150 6315   0 0.023
115655 1987.46  277.19 19.340  4.771 14.569  74   0 0.059 6754   3 0.011
115656 1837.91  277.28 20.029  5.231 14.798  74   0 0.085 6854   0 0.109
115657 1949.12  294.14 16.086  1.175 14.911  82   0 0.008 7377  13 0.006
115658 1884.82  304.29 21.674  6.761 14.913  81   0 0.341 7699   0 0.061
115659 1752.29  308.31 19.810  5.303 14.507  82   0 0.087 7789   0 0.022
115660 1690.23  319.19 15.470  1.228 14.242  84   1 0.006 8061  10 0.005
115662 1896.27  341.46 19.267  5.026 14.241  85   0 0.073 8360   0 0.023
115663 2101.09  357.05 16.864  2.524 14.340  31   0 0.008 4812   8 0.007
115665 2022.18  373.07 18.361  3.495 14.867  77   2 0.124 8080   0 0.030
115666 1865.11  374.26 19.979  5.340 14.640  84   0 0.077 8366   5 0.009
115667 1733.91  375.58 20.539  5.979 14.560  84   0 0.155 8371   0 0.054
115669 1766.65  447.03 17.198  2.398 14.800  85   1 0.012 8361  10 0.005
115670 1788.99  479.23 19.726  5.666 14.060  84   0 0.174 8371   0 0.076
115672 2087.73  521.46 15.826  1.059 14.767  39   0 0.007 5772   3 0.008
115673 1827.97  532.55 18.837  3.986 14.851  84   0 0.031 8357  13 0.005
115674 2129.73  542.78 16.029  1.145 14.884  14   0 0.026 2655   0 0.033
115684 2113.86  208.62 17.298  1.715 15.583   9   0 0.021 1985   2 0.012
115685 1788.85  214.51 18.672  3.360 15.312  30   1 0.027 3664  10 0.007
115687 1908.38  222.56 16.841  1.127 15.713  38   0 0.009 4229  10 0.008
115688 1992.47  222.42 20.811  5.161 15.650  34   0 0.169 4157   8 0.010
115689 1861.04  229.55 20.127  4.490 15.637  43   0 0.071 4694   8 0.010
115690 1704.60  232.71 18.487  3.036 15.450  46   0 0.023 4869   7 0.008
115691 1886.19  246.29 19.276  3.898 15.378  53   0 0.050 5515  13 0.008
115692 2020.32  257.40 19.254  3.504 15.750  52   0 0.189 5806   2 0.024
115693 2099.41  259.18 19.611  4.186 15.425  23   0 0.072 3876   3 0.012
115694 2023.35  273.03 19.039  3.850 15.190  65   1 0.171 6409   2 0.024
115695 2118.90  280.63 17.664  1.720 15.944  14   0 0.020 2862   2 0.016
115696 1841.43  292.96 20.317  4.508 15.810  80   0 0.089 7351   9 0.009
115697 1689.56  299.97 16.448  1.027 15.421  82   1 0.007 7566  14 0.008
115699 2090.10  303.44 20.626  4.950 15.677  35   0 0.168 5179   6 0.011
115700 2018.67  315.54 16.763  1.271 15.492  79   0 0.023 7746   4 0.014
115701 1757.50  323.59 19.581  3.812 15.769  84   0 0.063 8160  16 0.008
115703 2099.22  339.11 99.999  9.999 15.089   0   0 9.999 4967   0 0.061
115704 1950.76  343.15 19.507  3.740 15.767  84   0 0.053 8327  23 0.008
115705 1858.23  358.20 17.095  1.402 15.693  86   0 0.010 8356  10 0.008
