 19493  544.00 2771.65 18.300  5.377 12.922   7   0 0.170  153   0 0.069
 19503  493.54 2545.70 17.629  3.677 13.952   7   0 0.010  153   0 0.004
 19530  307.61 2513.03 19.660  4.381 15.280   7   0 0.046  153   0 0.008
 19531  240.28 2519.44 18.752  3.548 15.205   7   0 0.026  153   0 0.007
 19532  187.57 2546.95 20.862  6.068 14.794   6   0 0.145  148   0 0.083
 19533  266.92 2557.53 19.736  4.946 14.791   7   0 0.072  153   0 0.025
 19537  434.60 2653.05 18.296  3.647 14.649   7   0 0.025  153   0 0.007
 19538  484.79 2657.15 18.942  3.739 15.203   7   0 0.032  153   0 0.008
 19544  162.27 2761.95 19.485  4.120 15.365   7   0 0.018  142   0 0.007
 19547  505.26 2786.79 19.186  4.114 15.072   7   0 0.025  152   1 0.008
 19548  529.57 2834.79 20.747  6.000 14.747   7   0 0.183  153   0 0.077
 19574  560.65 2482.88 17.829  1.855 15.974   7   0 0.019  151   2 0.007
 19578  231.19 2554.16 20.039  3.651 16.388   7   0 0.025  150   1 0.008
 19579  325.47 2559.43 18.019  1.993 16.026   7   0 0.017  153   0 0.007
 19582  355.10 2628.30 20.021  3.714 16.307   7   0 0.049  153   0 0.008
 19586  189.92 2671.79 19.400  3.261 16.139   7   0 0.032  148   0 0.007
 19590  517.02 2698.94 20.293  3.893 16.400   6   1 0.030  153   0 0.008
 19592  467.30 2718.25 18.464  2.176 16.289   7   0 0.017  153   0 0.007
 19596  229.94 2763.88 19.724  3.356 16.368   7   0 0.049  151   0 0.008
 19679  361.38 2434.24 20.778  3.509 17.269   7   0 0.125  153   0 0.013
 19680  403.88 2436.21 20.103  3.685 16.418   6   1 0.024  153   0 0.009
 19681  259.79 2440.01 19.907  3.235 16.672   7   0 0.035  152   1 0.010
 19684  386.64 2448.84 20.175  3.324 16.850   7   0 0.091  153   0 0.009
 19687  293.50 2468.10 20.580  3.311 17.269   7   0 0.063  153   0 0.014
 19688  543.82 2477.74 19.856  3.145 16.711   7   0 0.019  153   0 0.008
 19695  319.43 2512.53 19.877  3.338 16.540   7   0 0.043  152   1 0.009
 19703  214.02 2556.02 20.522  3.333 17.189   5   2 0.031  150   0 0.014
 19707  178.15 2568.87 20.099  3.308 16.791   7   0 0.029  146   0 0.011
 19710  480.43 2586.46 20.032  3.547 16.485   7   0 0.056  153   0 0.008
 19712  245.85 2606.64 20.730  3.560 17.169   7   0 0.146  153   0 0.015
 19713  446.90 2607.17 19.645  2.567 17.077   7   0 0.033  152   1 0.010
 19716  220.84 2634.58 20.599  3.396 17.203   6   0 0.065  151   0 0.013
 19718  558.74 2640.87 20.636  3.331 17.305   7   0 0.083  153   0 0.015
 19721  301.12 2664.76 20.612  3.292 17.320   6   1 0.055  153   0 0.023
 19724  396.49 2716.60 19.331  2.163 17.168   7   0 0.029  153   0 0.014
 19729  208.56 2732.75 20.600  3.408 17.192   7   0 0.084  149   1 0.014
 19730  267.63 2746.69 20.591  3.335 17.256   7   0 0.050  153   0 0.015
 19731  572.87 2750.70 18.510  2.039 16.471   7   0 0.016  151   2 0.010
 19732  470.06 2752.23 20.420  3.226 17.194   6   1 0.013  153   0 0.015
 19736  364.21 2774.96 20.311  3.196 17.114   7   0 0.053  152   1 0.011
 19739  328.88 2795.50 20.565  3.562 17.003   7   0 0.075  152   1 0.010
 19740  621.53 2795.42 20.759  3.686 17.073   7   0 0.109  153   0 0.012
 19744  519.41 2807.11 20.249  3.295 16.954   6   1 0.018  152   1 0.010
 19747  179.64 2822.08 20.656  3.402 17.254   7   0 0.064  148   0 0.013
 19748  252.54 2821.55 20.555  3.316 17.239   7   0 0.070  153   0 0.015
 19753  350.63 2847.23 20.365  3.198 17.167   7   0 0.071  153   0 0.013
 19754  562.92 2854.76 19.340  2.372 16.969   7   0 0.029  152   1 0.012
 19756  383.08 2857.67 20.608  3.359 17.249   7   0 0.182  153   0 0.014
 19921  206.45 2431.51 20.865  3.296 17.569   6   0 0.056  150   0 0.019
 19924  515.17 2433.90 21.392  3.416 17.976   6   1 0.079  152   1 0.026
 19926  397.16 2438.27 21.168  3.428 17.740   6   1 0.033  153   0 0.020
 19928  162.74 2442.26 20.759  3.134 17.625   7   0 0.046  142   0 0.019
 19932  426.12 2452.78 20.984  3.192 17.792   6   0 0.050  153   0 0.020
