116722 1479.60 2770.94 17.083  3.052 14.031  89   1 0.010 3310   3 0.004
116723 1435.74 2799.66 14.619  1.840 12.779  90   0 0.004 3301  12 0.011
116747 1346.95 2724.83 19.631  5.175 14.456  88   0 0.059 3313   0 0.011
116749 1393.83 2733.26 17.617  3.169 14.448  89   1 0.016 3308   5 0.005
116750 1578.03 2747.80 15.800  1.327 14.473  89   1 0.006 3309   4 0.004
116751 1433.86 2753.01 18.699  3.409 15.289  89   0 0.027 3307   6 0.007
116754 1540.57 2775.48 20.561  5.653 14.908  85   0 0.115 3313   0 0.024
116755 1626.24 2782.15 18.004  3.308 14.696  90   0 0.016 3311   2 0.006
116796 1508.94 2722.81 19.550  3.709 15.841  88   0 0.052 3310   3 0.012
116797 1570.91 2734.58 19.624  3.769 15.856  88   0 0.063 3308   5 0.010
116799 1601.78 2748.48 17.312  1.283 16.029  90   0 0.013 3305   8 0.011
116800 1535.76 2749.08 19.533  3.557 15.976  88   0 0.043 3309   4 0.010
116801 1379.21 2763.78 16.852  1.279 15.573  90   0 0.008 3308   5 0.007
116804 1443.12 2774.21 16.508  1.242 15.266  89   1 0.006 3310   3 0.006
116807 1491.12 2794.77 18.215  2.889 15.326  90   0 0.020 3304   9 0.006
116808 1648.19 2799.97 19.550  4.008 15.542  88   0 0.058 3306   6 0.008
116809 1483.92 2802.12 19.560  3.879 15.682  88   1 0.055 3308   5 0.010
116813 1598.49 2749.43 17.848  1.398 16.450  90   0 0.019 3308   4 0.017
116814 1488.57 2801.53 19.559  2.905 16.654  88   0 0.053 3306   7 0.018
116915 1486.45 2707.55 19.994  3.385 16.609  87   0 0.067 3309   4 0.016
116918 1443.16 2711.71 20.295  3.513 16.782  85   1 0.070 3302   9 0.013
116921 1398.82 2716.25 19.876  3.155 16.720  87   0 0.070 3308   4 0.014
116923 1648.37 2722.72 19.718  3.294 16.424  88   0 0.063 3304   8 0.013
116924 1390.26 2726.04 19.800  3.095 16.705  88   0 0.067 3306   6 0.018
116926 1392.82 2730.95 19.989  4.193 15.796  89   0 0.107 3309   4 0.015
