   599   75.04  252.78 21.008  9.999 99.999   6   0 0.113    0   0 9.999
   602  277.99  257.29 20.127  2.796 17.331   8   0 0.061  251   0 0.020
   604  189.65  261.81 21.381  4.100 17.280   8   0 0.155  240   3 0.018
   614  169.55  269.19 21.687  3.977 17.710   8   0 0.291  241   0 0.025
   615  186.99  270.38 21.457  3.940 17.517   8   0 0.141  244   1 0.037
   618   84.45  274.27 21.248  9.999 99.999   5   1 0.093    0   0 9.999
   619  124.04  274.94 21.297  3.653 17.643   7   0 0.194  210   1 0.024
   620  330.36  274.75 20.950  3.730 17.220   8   0 0.181  256   1 0.017
   622  322.58  278.09 21.213  4.115 17.098   8   0 0.125  256   1 0.015
   644   87.34  305.27 21.287  9.999 99.999   5   1 0.101    0   0 9.999
   645  301.55  305.49 19.603  2.259 17.345   8   0 0.067  258   1 0.020
   650   95.00  309.05 21.380  3.798 17.582   6   0 0.234  142   0 0.024
   655  119.62  316.38 21.353  3.906 17.447   6   1 0.109  197   1 0.022
   657  325.95  316.91 21.018  3.622 17.396   7   1 0.077  259   0 0.020
   660  245.80  320.59 21.180  3.844 17.335   8   0 0.160  257   0 0.019
   665  324.50  328.00 19.546  2.309 17.236   8   0 0.038  257   2 0.017
   668  201.15  328.90 21.175  3.933 17.242   8   0 0.052  252   0 0.017
   670  131.96  328.98 20.179  2.269 17.909   7   0 0.065  216   1 0.046
   672  161.89  334.65 20.924  3.493 17.431   8   0 0.062  244   0 0.021
   674  134.45  334.50 21.118  3.673 17.445   6   1 0.098  217   3 0.021
   683  235.54  345.39 21.232  3.859 17.373   8   0 0.257  257   0 0.018
   684  176.02  345.05 19.792  2.102 17.689   8   0 0.023  246   0 0.023
   693  204.87  355.09 21.256  3.884 17.372   8   0 0.157  252   1 0.019
   694  230.80  355.06 19.832  2.393 17.439   8   0 0.040  257   0 0.023
   699   94.14  359.19 20.531  3.464 17.067   6   0 0.072  139   1 0.019
   701  188.07  362.13 21.660  4.017 17.643   8   0 0.101  248   0 0.024
   702  239.67  364.16 99.999  9.999 17.353   0   0 9.999  255   2 0.022
   710  320.14  368.39 21.855  4.020 17.835   8   0 0.231  259   0 0.027
   714  139.98  371.95 21.351  3.972 17.379   7   0 0.107  222   0 0.020
   716  227.92  371.19 99.999  9.999 17.960   0   0 9.999  256   1 0.194
   717  107.80  374.60 18.988  2.005 16.982   7   0 0.047  173   1 0.019
   718  149.50  373.97 21.189  3.757 17.432   8   0 0.188  233   1 0.019
   729  135.56  390.43 20.920  3.923 16.997   7   0 0.108  219   1 0.015
   731  157.85  393.99 21.444  3.534 17.910   8   0 0.159  241   1 0.025
   732  210.46  395.85 21.349  3.813 17.536   7   1 0.134  255   0 0.025
   733  319.48  395.48 21.426  3.960 17.466   8   0 0.169  258   1 0.020
   736  144.30  403.25 21.986  4.273 17.713   7   0 0.196  228   1 0.023
   742  316.73  409.24 19.510  2.042 17.468   8   0 0.034  257   2 0.023
   751  143.08  416.49 22.147  4.530 17.617   7   0 0.253  225   2 0.020
   753  151.45  417.67 21.336  3.939 17.397   8   0 0.080  234   2 0.020
   756  238.64  428.99 21.782  4.043 17.740   8   0 0.174  256   1 0.026
   760  257.32  433.73 20.994  3.897 17.097   8   0 0.102  257   0 0.016
   764  142.45  435.95 21.771  3.947 17.824   7   0 0.166  226   1 0.026
   771  238.70  443.64 21.321  3.850 17.470   8   0 0.208  257   0 0.020
   773  318.95  445.55 21.611  3.950 17.661   8   0 0.211  257   2 0.022
   775  312.52  447.38 19.630  2.300 17.330   8   0 0.039  259   0 0.021
   785  236.31  457.48 19.071  1.989 17.081   8   0 0.031  256   1 0.014
   786  111.62  458.33 21.475  3.997 17.478   7   0 0.259  180   0 0.023
   787  246.60  457.44 21.411  3.757 17.654   8   0 0.120  257   0 0.026
   788  296.72  458.42 20.606  3.703 16.902   7   1 0.076  259   0 0.014
   790  289.76  460.17 20.472  2.630 17.843   8   0 0.061  258   0 0.027
   801  268.40  464.72 19.677  1.483 18.194   7   1 0.029  257   1 0.057
   807  306.63  478.54 21.197  3.851 17.345   8   0 0.147  258   1 0.018
   811  326.15  481.46 21.692  3.899 17.793   8   0 0.156  259   0 0.027
   812  234.63  485.99 21.552  3.761 17.790   8   0 0.186  256   1 0.025
   814  211.25  488.54 21.501  3.790 17.711   8   0 0.163  254   1 0.022
   818  130.34  493.70 22.171  4.364 17.807   5   2 0.117  214   1 0.024
   821  254.26  499.12 19.366  2.084 17.282   8   0 0.050  256   1 0.021
   827  142.13  507.12 19.964  2.392 17.572   7   0 0.050  226   0 0.021
   835  284.06  515.75 21.304  3.596 17.709   8   0 0.169  258   0 0.023
   840  178.84  519.67 21.657  4.267 17.390   8   0 0.175  246   0 0.019
   841  328.96  521.73 18.980  1.873 17.108   8   0 0.028  258   1 0.016
   848  156.72  530.93 21.682  4.090 17.592   8   0 0.202  240   1 0.025
   849  309.84  531.41 99.999  9.999 17.283   0   0 9.999  256   3 0.021
   851  265.33  532.27 21.019  3.780 17.239   7   1 0.034  258   0 0.016
   862  216.84  546.36 21.402  3.989 17.414   8   0 0.197  256   0 0.019
  1333  251.78  375.01 20.678  2.827 17.852   7   1 0.030  256   1 0.033
  1334  315.61  546.56 99.999  9.999 19.051   0   0 9.999  257   0 0.080
  1336  282.25  172.71 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  1338  229.72  178.83 20.696  3.019 17.677   5   0 0.136  128   0 0.040
  1339  278.15  197.25 99.999  9.999 18.530   0   0 9.999  180   3 0.053
  1344  123.46  278.87 99.999  9.999 18.191   0   0 9.999  210   1 0.035
  1345   98.59  310.19 99.999  9.999 18.450   0   0 9.999  153   1 0.057
  1346  161.61  332.67 20.924  2.736 18.188   8   0 0.062  244   0 0.040
  1348  235.47  341.07 20.696  2.563 18.133   8   0 0.075  257   0 0.037
  1352  269.76  466.66 19.677  1.372 18.305   7   1 0.029  257   1 0.057
  1356  307.13  532.57 19.405  1.787 17.618   8   0 0.035  257   2 0.026
  1403  218.33  179.54 21.599  3.714 17.885   4   0 0.183  132   0 0.036
  1404  246.91  180.17 99.999  9.999 18.027   0   0 9.999  133   0 0.038
  1405  251.14  178.96 99.999  9.999 18.252   0   0 9.999  127   1 0.048
  1409  257.91  184.88 21.171  2.467 18.704   5   0 0.123  148   0 0.063
  1413  314.18  191.22 21.111  2.796 18.315   6   0 0.113  165   0 0.045
  1420  187.58  199.63 21.954  3.990 17.963   5   1 0.162  182   0 0.035
  1426  267.81  205.83 20.252  2.306 17.946   6   0 0.031  203   1 0.028
  1427  186.93  205.69 99.999  9.999 18.495   0   0 9.999  193   0 0.041
  1432  106.74  211.47 22.024  3.774 18.250   3   0 0.257  130   0 0.232
  1435  288.32  213.54 20.567  2.325 18.242   7   0 0.132  215   0 0.040
  1444  230.42  220.33 20.366  2.396 17.971   8   0 0.083  223   0 0.032
  1449  299.38  223.37 21.451  3.629 17.821   8   0 0.261  232   0 0.024
  1452  181.14  225.38 21.637  2.841 18.796   8   0 0.134  225   0 0.061
  1454  287.24  225.72 99.999  9.999 18.619   0   0 9.999  235   1 0.049
  1457  184.53  231.75 21.707  3.804 17.903   8   0 0.176  227   2 0.033
  1458  265.33  230.78 99.999  9.999 18.237   0   0 9.999  239   0 0.037
  1459  277.43  230.90 21.797  3.656 18.141   7   0 0.253  239   0 0.037
  1460  253.93  232.76 20.092  2.092 18.000   8   0 0.032  237   1 0.031
  1461  218.35  233.59 99.999  9.999 18.526   0   0 9.999  237   0 0.047
  1468  320.39  240.01 21.145  2.524 18.621   8   0 0.159  241   1 0.060
  1471  178.13  240.66 99.999  9.999 18.801   0   0 9.999  229   2 0.057
  1472  224.44  241.53 22.155  4.005 18.150   8   0 0.292  241   0 0.033
  1476  290.08  247.92 99.999  9.999 18.013   0   0 9.999  245   0 0.043
  1477  301.08  246.99 99.999  9.999 18.357   0   0 9.999  238   0 0.287
  1480  150.47  248.85 22.195  3.967 18.228   8   0 0.174  224   0 0.036
  1483  245.88  256.24 21.639  3.653 17.987   8   0 0.251  249   1 0.034
  1487  234.53  257.51 22.186  3.881 18.304   7   0 0.220  248   1 0.037
  1492  281.97  266.49 20.213  2.176 18.038   8   0 0.060  250   3 0.028
  1495  284.41  271.21 99.999  9.999 18.256   0   0 9.999  254   1 0.042
  1498  199.53  278.39 99.999  9.999 18.572   0   0 9.999  247   3 0.053
  1502  147.63  284.72 22.236  3.743 18.493   8   0 0.301  229   1 0.043
  1503  327.34  284.41 99.999  9.999 17.925   0   0 9.999  257   0 0.041
  1504  170.80  286.25 20.809  2.521 18.288   8   0 0.086  242   0 0.038
  1505  184.93  286.46 21.963  3.802 18.161   8   0 0.285  245   1 0.040
  1507  307.56  286.02 22.111  3.615 18.496   8   0 0.226  256   1 0.040
  1514  105.78  295.23 21.143  2.609 18.534   4   2 0.025  168   0 0.040
  1515  128.68  296.76 99.999  9.999 18.092   0   0 9.999  214   0 0.031
  1517  148.72  297.23 20.709  2.423 18.286   8   0 0.081  229   2 0.035
  1518  292.70  296.39 21.056  2.415 18.641   7   1 0.181  255   1 0.058
  1521  124.24  301.32 99.999  9.999 18.058   2   0 9.999  210   1 0.029
  1522  251.69  300.60 99.999  9.999 18.813   0   0 9.999  253   1 0.062
  1524   79.74  304.46 21.510  9.999 99.999   6   0 0.126    0   0 9.999
  1528  210.22  306.29 21.281  2.550 18.730   8   0 0.177  252   1 0.056
  1529  251.89  307.82 99.999  9.999 18.560   0   0 9.999  256   0 0.043
  1533  286.74  317.75 20.123  2.304 17.818   8   0 0.050  258   0 0.227
  1537  105.70  319.32 99.999  9.999 18.555   0   0 9.999  169   1 0.046
  1538  131.38  321.88 21.994  4.057 17.937   7   0 0.241  214   3 0.029
  1540  116.91  322.19 20.869  2.581 18.287   7   0 0.087  190   2 0.037
  1541  259.89  322.41 22.216  3.920 18.296   8   0 0.311  256   1 0.040
  1542  150.91  325.37 22.072  3.370 18.702   6   0 0.236  233   1 0.052
  1544  299.53  327.31 99.999  9.999 18.495   0   0 9.999  258   0 0.046
  1546  145.02  332.01 99.999  9.999 18.541   0   0 9.999  229   1 0.041
  1551  311.63  334.62 20.895  2.393 18.502   8   0 0.111  259   0 0.043
  1552  192.28  338.47 21.987  4.054 17.933   7   0 0.319  252   0 0.028
  1553  280.42  336.63 22.531  3.808 18.723   6   0 0.290  257   0 0.057
  1554  317.99  338.09 22.104  3.765 18.338   8   0 0.423  257   2 0.035
  1556  285.67  344.18 21.146  2.540 18.607   8   0 0.160  257   1 0.044
  1568  236.33  358.25 19.963  2.059 17.904   8   0 0.064  257   0 0.032
  1572  155.35  360.99 99.999  9.999 18.603   0   0 9.999  240   1 0.050
  1573  198.60  361.61 22.027  3.578 18.449   6   1 0.231  251   1 0.049
  1576  123.57  362.06 99.999  9.999 18.507   0   0 9.999  211   1 0.043
  1577  194.10  361.46 99.999  9.999 18.602   0   0 9.999  251   1 0.058
  1585  236.60  368.52 99.999  9.999 18.514   0   0 9.999  256   1 0.094
  1588  224.28  374.23 18.584  2.328 16.256   7   1 0.068  257   0 0.096
  1593  221.99  376.16 99.999  9.999 16.590   0   0 9.999  257   0 0.221
  1596  139.27  380.12 99.999  9.999 18.750   0   0 9.999  222   0 0.056
  1597  230.31  383.01 21.113  2.874 18.239   8   0 0.226  256   1 0.110
  1601  220.22  381.09 99.999  9.999 18.501   0   0 9.999  253   0 0.369
  1602  224.70  383.08 99.999  9.999 18.199   0   0 9.999  256   0 0.194
  1604  149.94  386.88 21.009  2.367 18.642   8   0 0.137  233   1 0.048
  1605  179.71  388.61 99.999  9.999 18.648   0   0 9.999  246   2 0.057
  1607  288.05  390.46 21.642  3.692 17.949   7   1 0.202  258   0 0.032
  1611  148.62  393.59 21.279  3.297 17.982   7   1 0.099  232   1 0.028
  1622  118.70  403.95 99.999  9.999 18.258   0   0 9.999  198   0 0.035
  1623  275.30  404.62 99.999  9.999 18.360   0   0 9.999  256   1 0.047
  1624  148.20  407.14 99.999  9.999 18.597   0   0 9.999  232   1 0.051
  1628  216.80  410.81 21.156  2.480 18.675   8   0 0.133  255   1 0.053
  1632  264.69  413.80 22.560  4.225 18.335   7   0 0.495  256   2 0.046
  1633  134.31  414.56 99.999  9.999 18.715   0   0 9.999  217   1 0.050
  1634  293.36  417.77 99.999  9.999 15.918   0   0 9.999   64   0 0.706
  1639  233.71  424.23 99.999  9.999 18.785   0   0 9.999  255   2 0.068
  1640  132.23  425.73 99.999  9.999 18.349   0   0 9.999  216   1 0.042
  1641  186.82  426.02 99.999  9.999 18.587   0   0 9.999  247   0 0.046
  1642  279.34  424.87 22.018  3.182 18.836   8   0 0.206  249   3 0.215
  1648  275.51  431.68 21.456  2.175 19.280   8   0 0.203  256   0 0.099
  1652  308.36  438.91 21.981  3.872 18.109   7   1 0.122  259   0 0.036
  1658  170.51  446.34 22.183  4.308 17.875   8   0 0.375  244   1 0.031
  1660  279.55  449.15 21.410  3.176 18.234   8   0 0.112  258   0 0.044
  1668  154.61  457.80 20.987  2.371 18.616   7   1 0.067  237   1 0.096
  1671  141.31  459.90 20.851  2.218 18.633   7   0 0.087  226   0 0.052
  1679  258.29  465.25 99.999  9.999 18.088   0   0 9.999  257   0 0.093
  1687  306.54  473.77 99.999  9.999 18.729   0   0 9.999  258   1 0.061
  1692  264.86  479.81 21.674  3.704 17.970   8   0 0.171  258   0 0.030
  1697  249.86  481.00 99.999  9.999 18.732   0   0 9.999  256   1 0.058
  1702  301.33  497.38 21.475  3.414 18.062   8   0 0.153  259   0 0.036
  1707  212.29  497.84 22.258  3.958 18.301   8   0 0.217  254   1 0.038
  1710  129.73  502.05 20.852  2.296 18.557   7   0 0.079  213   2 0.041
  1718  311.32  506.66 21.802  3.702 18.100   8   0 0.269  259   0 0.037
  1721  117.73  507.82 99.999  9.999 18.695   0   0 9.999  193   0 0.051
  1724  250.02  511.46 99.999  9.999 18.594   0   0 9.999  255   2 0.047
  1735  133.31  525.05 21.459  2.922 18.538   7   0 0.220  218   0 0.047
  1739  165.57  527.57 21.852  3.933 17.919   8   0 0.298  244   1 0.029
  1741  248.31  527.55 22.232  4.019 18.213   8   0 0.413  257   0 0.039
  1744  131.81  529.69 99.999  9.999 18.277   0   0 9.999  217   0 0.038
  1752  285.72  542.55 99.999  9.999 18.454   0   0 9.999  256   1 0.036
  1754  110.70  544.70 99.999  9.999 18.694   0   0 9.999  176   2 0.046
