# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_1950.dat PSPL     2460965.446 0.669503 49.584 0.000000 0.00000 0.00000 0.00000 4031.10043 0.000 0.000
WFIRST_1714.dat PSPL     2460952.164 0.992792 75.671 0.000000 0.00000 0.00000 0.00000 2998.54223 0.000 0.000
WFIRST_1352.dat PSPL     2460951.972 0.720542 34.543 0.000000 0.00000 0.00000 0.00000 1228.31638 0.000 0.000
WFIRST_0852.dat PSPL     2460953.256 0.192882 20.466 0.000000 0.00000 0.00000 0.00000 55.51069 0.000 0.000
WFIRST_0053.dat PSPL     2460949.319 0.197698 14.306 0.000000 0.00000 0.00000 0.00000 35.50122 0.000 0.000
WFIRST_0717.dat PSPL     2460941.983 0.286849 71.766 0.000000 0.00000 0.00000 0.00000 2623.08003 0.000 0.000
WFIRST_0455.dat PSPL     2460956.442 0.675806 43.221 0.000000 0.00000 0.00000 0.00000 100.09928 0.000 0.000
WFIRST_1645.dat PSPL     2460941.468 0.921419 86.975 0.000000 0.00000 0.00000 0.00000 615.02967 0.000 0.000
WFIRST_1817.dat PSPL     2460950.731 0.591330 76.685 0.000000 0.00000 0.00000 0.00000 1103.89230 0.000 0.000
WFIRST_2095.dat PSPL     2460953.926 0.110470 22.820 0.000000 0.00000 0.00000 0.00000 645.87151 0.000 0.000
WFIRST_1898.dat PSPL     2460945.557 0.550879 95.622 0.000000 0.00000 0.00000 0.00000 34.74969 0.000 0.000
WFIRST_1251.dat PSPL     2460942.744 0.503528 95.774 0.000000 0.00000 0.00000 0.00000 794.91484 0.000 0.000
WFIRST_0567.dat PSPL     2460958.844 0.149640 90.063 0.000000 0.00000 0.00000 0.00000 32.87063 0.000 0.000
WFIRST_2249.dat PSPL     2460970.013 0.288097 45.592 0.000000 0.00000 0.00000 0.00000 1362.85820 0.000 0.000
WFIRST_1244.dat PSPL     2460947.247 0.380058 55.784 0.000000 0.00000 0.00000 0.00000 1268.20076 0.000 0.000
WFIRST_2065.dat Binary   2460950.150 0.010454 92.882 0.000129 0.02345 -0.08334 2.16857 791.61328 0.000 0.000
WFIRST_2458.dat Binary   2460945.901 0.184163 62.978 0.005412 0.03373 -0.20624 2.60567 107.60769 0.000 0.000
WFIRST_2295.dat Binary   2460957.586 0.105194 20.605 0.009582 0.05680 -0.64804 0.16924 181.26471 0.000 0.000
WFIRST_2046.dat Binary   2460956.412 0.176411 48.050 0.001443 0.03276 -0.56052 2.77068 44.86761 0.000 0.000
WFIRST_1948.dat Binary   2460969.905 0.078918 78.679 0.004247 0.11279 -0.69570 1.59569 327.42959 0.000 0.000
WFIRST_0259.dat GLPlanet 2460969.280 0.106826 9.939 0.000039 -0.13943 -5.19155 0.17295 3471.68163 0.000 -6.405
WFIRST_1702.dat GLPlanet 2460944.026 0.442186 33.435 0.000064 -0.10288 -5.61431 1.17362 369.52322 0.000 -6.089
WFIRST_0820.dat GLPlanet 2460970.234 0.447108 50.492 0.000014 -0.10515 -5.58170 1.14732 785.62522 0.000 -9.996
WFIRST_1781.dat GLPlanet 2460949.277 0.240891 30.191 0.000019 -0.10129 -5.27467 2.61405 746.18886 0.000 12.209
WFIRST_1801.dat GLPlanet 2460947.064 0.020679 11.502 0.000058 -0.20153 -5.08319 3.11204 1146.60786 0.000 11.059
WFIRST_0600.dat GLPlanet 2460948.874 0.472459 17.912 0.000041 -0.10348 -5.37803 1.75170 3986.23667 0.000 1.622
WFIRST_0973.dat GLPlanet 2460955.171 0.403914 21.488 0.000022 -0.16849 -5.60865 0.52773 822.74095 0.000 -14.727
WFIRST_1014.dat GLPlanet 2460960.889 0.013111 38.786 0.000083 -0.10996 -5.25106 3.12539 430.19625 0.000 19.845
WFIRST_1844.dat GLPlanet 2460969.524 0.470004 25.590 0.000042 -0.14415 -5.18594 0.76010 641.70192 0.000 -12.437
WFIRST_2498.dat GLPlanet 2460949.353 0.359627 31.545 0.000077 -0.11392 -5.29031 0.73580 470.97623 0.000 -12.310
WFIRST_2132.dat GLPlanet 2460948.971 0.452300 14.391 0.000017 -0.25151 -5.96640 0.37582 822.16197 0.000 -16.370
WFIRST_0649.dat GLPlanet 2460956.101 0.435357 60.950 0.000058 -0.12114 -5.62351 0.88511 389.00074 0.000 -21.965
WFIRST_2227.dat GLPlanet 2460953.131 0.475523 22.346 0.000065 -0.10899 -5.25729 1.20591 1621.52272 0.000 -3.945
WFIRST_0347.dat GLPlanet 2460964.240 0.439246 30.400 0.000066 -0.11559 -5.62892 0.95947 5322.69844 0.000 -9.477
WFIRST_0139.dat GLPlanet 2460945.192 0.471736 8.260 0.000014 -0.13631 -5.22905 2.31802 665.21880 0.000 3.550
WFIRST_2386.dat NCPlanet 2460941.754 0.469673 31.375 0.000093 -0.10345 -5.40057 1.34449 26.67421 0.000 -3.264
WFIRST_2055.dat NCPlanet 2460943.957 0.022743 7.103 0.000020 -0.28880 -5.10369 3.13249 24.22295 0.000 10.157
WFIRST_2067.dat NCPlanet 2460942.871 0.406504 23.988 0.000099 -0.13861 -5.16303 2.47421 4852.28481 0.000 12.145
WFIRST_1457.dat NCPlanet 2460967.833 0.480667 81.552 0.000040 -0.10516 -5.46979 1.39268 1209.58759 0.000 -7.362
WFIRST_0712.dat NCPlanet 2460948.164 0.276476 20.677 0.000031 -0.20459 -5.46013 0.29192 53.58113 0.000 -19.385
WFIRST_2189.dat HMPlanet 2460943.190 0.000442 55.004 0.000107 -0.13689 -5.41082 2.01704 737.86625 0.000 0.000
WFIRST_0379.dat HMPlanet 2460955.042 0.000190 54.746 0.000173 -0.17628 -5.09919 2.30102 23.48440 0.000 0.000
WFIRST_1562.dat HMPlanet 2460939.543 0.000022 37.363 0.000122 -0.17786 -5.51646 1.87126 807.84917 0.000 0.000
WFIRST_2382.dat HMPlanet 2460940.552 0.000338 13.205 0.000120 -0.16793 -5.23208 1.41100 87.73528 0.000 0.000
WFIRST_2236.dat HMPlanet 2460963.762 0.000139 35.545 0.000064 -0.10709 -5.70535 -0.16351 87.44693 0.000 0.000
