  9402  421.58 1178.67 14.181  0.593 13.588  87   0 0.005 5532  11 0.005
  9403  472.16 1179.89 17.229  3.522 13.706  87   0 0.024 5537   6 0.009
  9405  513.05 1219.52 14.529  0.648 13.880  87   0 0.004 5511  32 0.005
  9406  403.27 1224.49 16.268  2.758 13.510  87   0 0.014 5536   7 0.007
  9412  390.55 1252.67 15.951  1.977 13.974  86   1 0.006 5529  14 0.005
  9425  444.44 1388.95 14.617  0.997 13.620  87   0 0.004 5524  19 0.005
  9435  420.60 1488.44 16.378  3.237 13.141  87   0 0.020 5539   4 0.010
  9439  432.69 1531.01 17.561  4.092 13.469  87   0 0.046 5543   0 0.017
  9459  523.52 1174.93 17.137  2.693 14.444  87   0 0.011 5518  25 0.006
  9461  495.31 1190.89 15.245  0.850 14.395  87   0 0.005 5516  27 0.005
  9464  441.32 1226.20 16.351  2.176 14.175  87   0 0.007 5528  15 0.006
  9467  455.55 1236.18 17.308  2.626 14.682  87   0 0.011 5528  15 0.007
  9468  527.42 1242.64 17.473  2.990 14.483  87   0 0.015 5521  22 0.007
  9469  480.29 1243.02 15.624  0.969 14.654  87   0 0.006 5522  21 0.006
  9471  481.48 1250.63 16.422  2.070 14.352  87   0 0.008 5523  20 0.005
  9475  439.18 1288.38 17.084  2.452 14.632  87   0 0.009 5524  19 0.006
  9476  461.56 1293.69 15.850  0.979 14.871  86   1 0.005 5525  18 0.006
  9485  446.01 1371.51 17.330  2.793 14.536  87   0 0.011 5528  15 0.006
  9488  395.89 1422.77 17.469  2.567 14.902  87   0 0.010 5537   6 0.009
  9489  508.00 1442.77 17.316  2.497 14.818  87   0 0.010 5536   7 0.006
  9500  428.51 1555.75 15.735  0.820 14.915  86   1 0.005 5529  14 0.008
  9501  545.36 1557.71 15.091  1.003 14.088  87   0 0.005 5511  32 0.006
  9502  437.22 1558.51 16.954  2.451 14.503  87   0 0.011 5531  12 0.006
  9520  430.37 1139.16 17.021  1.319 15.702  87   0 0.009 5529  14 0.010
  9521  498.96 1140.67 17.442  2.100 15.343  86   1 0.012 5526  17 0.009
  9524  492.17 1145.98 16.937  1.860 15.077  87   0 0.009 5527  16 0.008
  9530  476.71 1171.66 17.799  2.038 15.761  87   0 0.014 5531  11 0.013
  9536  527.44 1197.27 17.162  1.846 15.316  87   0 0.009 5519  24 0.008
  9537  386.51 1198.67 17.741  2.232 15.510  87   0 0.015 5532  11 0.008
  9542  394.30 1209.49 16.388  1.136 15.252  87   0 0.007 5532  11 0.008
  9544  545.03 1216.66 17.514  2.148 15.365  87   0 0.013 5516  27 0.010
  9546  540.87 1222.48 17.281  2.120 15.161  86   1 0.012 5519  23 0.011
  9552  440.22 1233.84 17.033  2.052 14.981  87   0 0.009 5537   6 0.008
  9554  461.29 1249.68 18.008  2.259 15.749  87   0 0.015 5527  15 0.010
  9558  397.43 1267.24 17.767  2.058 15.709  87   0 0.015 5529  14 0.009
  9562  476.86 1276.59 17.554  2.216 15.339  87   0 0.012 5522  21 0.007
  9569  484.24 1297.75 17.685  2.022 15.663  87   0 0.014 5529  13 0.008
  9570  444.49 1301.08 17.853  2.163 15.690  87   0 0.012 5531  10 0.008
  9572  468.17 1305.03 17.451  2.141 15.311  87   0 0.011 5528  15 0.007
  9573  475.81 1306.37 16.789  1.638 15.151  87   0 0.007 5524  18 0.007
  9582  495.65 1325.84 17.093  1.950 15.143  87   0 0.009 5523  19 0.007
  9585  402.37 1335.64 17.674  2.149 15.526  87   0 0.015 5535   8 0.009
  9588  473.05 1340.48 18.090  2.654 15.437  86   1 0.021 5527  16 0.008
  9590  521.95 1342.04 17.320  2.095 15.225  87   0 0.010 5518  25 0.008
  9591  510.93 1346.58 17.984  2.051 15.933  87   0 0.017 5531  12 0.011
  9596  464.14 1363.28 17.839  2.275 15.565  87   0 0.016 5532  11 0.008
  9598  478.42 1375.50 17.612  2.124 15.488  86   1 0.013 5527  16 0.008
  9601  403.71 1380.28 17.733  2.487 15.246  86   1 0.016 5531  12 0.008
  9602  516.42 1379.98 18.332  2.802 15.530  87   0 0.028 5526  17 0.008
  9604  402.49 1384.50 17.331  1.992 15.339  86   1 0.012 5537   6 0.013
  9606  450.91 1390.89 17.582  2.377 15.205  86   1 0.015 5536   7 0.013
  9607  513.96 1391.33 17.815  2.229 15.586  87   0 0.013 5530  12 0.008
  9608  434.01 1392.96 17.694  1.917 15.777  87   0 0.014 5528  14 0.013
  9610  460.92 1402.89 17.726  2.165 15.561  87   0 0.014 5540   3 0.014
  9616  511.54 1419.31 17.808  2.184 15.624  87   0 0.013 5537   5 0.011
  9620  497.46 1432.00 17.721  2.354 15.367  87   0 0.015 5537   6 0.011
  9622  546.97 1433.00 16.555  1.289 15.266  87   0 0.008 5533   8 0.010
