\STAR_ID                              = "OGLE 2011-BLG-265L
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h57m47.72s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-27d23m40.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "3169"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2455376.629140"
\MAXIMUM_DATE                         = "2456219.552660"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "15.1040"
\MAXIMUM_VALUE                        = "17.3621"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Skowron et al. 2015"
\BIBCODES                             = "2014arXiv1410.8252S"
\TELESCOPE                            = "Warsaw University Telescope (1.3 m)"
\INSTRUMENT                           = "32-CCD mosaic camera"
\TIME_SERIES_DATA_FILTER              = "I"
\OBSERVATORY_SITE                     = "Las Campanas Observatory, Chile"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2455382.691140              17.2546                   0.0205
   2455382.705630              17.3020                   0.0219
   2455382.743660              17.2885                   0.0232
   2455384.773500              17.2488                   0.0246
   2455385.469190              17.2808                   0.0246
   2455385.482960              17.2910                   0.0219
   2455385.495770              17.2816                   0.0219
   2455385.508430              17.3135                   0.0205
   2455385.564770              17.2862                   0.0178
   2455385.710860              17.3083                   0.0178
   2455385.808940              17.2777                   0.0178
   2455385.821500              17.3222                   0.0178
   2455385.834060              17.2794                   0.0178
   2455385.846500              17.2756                   0.0178
   2455385.859250              17.2803                   0.0191
   2455386.468320              17.3015                   0.0232
   2455386.495070              17.3107                   0.0232
   2455386.523970              17.3010                   0.0191
   2455386.577300              17.2963                   0.0232
   2455386.606100              17.2703                   0.0191
   2455386.661330              17.2759                   0.0232
   2455386.690340              17.2970                   0.0178
   2455386.729220              17.2922                   0.0178
   2455386.741940              17.2932                   0.0178
   2455386.754690              17.2716                   0.0178
   2455386.767570              17.2916                   0.0178
   2455386.780210              17.2949                   0.0178
   2455386.794120              17.3042                   0.0191
   2455386.806810              17.2580                   0.0191
   2455386.823230              17.2786                   0.0191
   2455386.836030              17.2774                   0.0191
   2455387.468060              17.3050                   0.0219
   2455387.502470              17.2884                   0.0178
   2455387.539220              17.2958                   0.0178
   2455387.573470              17.2847                   0.0178
   2455387.611460              17.2932                   0.0164
   2455387.646240              17.2918                   0.0151
   2455387.685680              17.2781                   0.0178
   2455387.698590              17.2763                   0.0164
   2455387.711570              17.2948                   0.0178
   2455387.724330              17.2962                   0.0164
   2455387.737000              17.2929                   0.0164
   2455387.749900              17.3026                   0.0178
   2455387.765080              17.2950                   0.0191
   2455387.777840              17.2952                   0.0191
   2455387.793680              17.2935                   0.0191
   2455387.806290              17.2567                   0.0191
   2455387.821220              17.2669                   0.0191
   2455387.833740              17.2618                   0.0191
   2455387.846310              17.3038                   0.0219
   2455388.466270              17.3154                   0.0303
   2455388.478790              17.3282                   0.0232
   2455388.491370              17.3007                   0.0232
   2455388.503850              17.3112                   0.0219
   2455388.516670              17.2994                   0.0205
   2455388.529400              17.3310                   0.0205
   2455388.563770              17.3005                   0.0205
   2455388.603880              17.3307                   0.0191
   2455388.638460              17.2943                   0.0178
   2455388.676190              17.3181                   0.0191
   2455388.711190              17.3017                   0.0191
   2455388.748590              17.2848                   0.0191
   2455388.762860              17.3022                   0.0191
   2455388.775640              17.3030                   0.0205
   2455388.788330              17.2635                   0.0191
   2455388.806120              17.3006                   0.0219
   2455388.818780              17.3018                   0.0232
   2455388.832450              17.2808                   0.0219
   2455389.492060              17.2716                   0.0232
   2455389.504700              17.3012                   0.0219
   2455389.517460              17.2977                   0.0232
   2455389.530190              17.2954                   0.0219
   2455389.543200              17.2682                   0.0205
   2455389.581250              17.2889                   0.0191
   2455389.615540              17.2830                   0.0191
   2455389.650440              17.3122                   0.0219
   2455389.686390              17.3288                   0.0191
   2455389.720780              17.3007                   0.0205
   2455389.755600              17.3068                   0.0232
   2455389.768390              17.2965                   0.0191
   2455389.781130              17.2739                   0.0205
   2455389.794880              17.2668                   0.0219
   2455389.807580              17.3026                   0.0191
   2455389.821670              17.2710                   0.0191
   2455389.834440              17.3141                   0.0232
   2455390.550690              17.2816                   0.0219
   2455390.563340              17.2728                   0.0205
   2455390.583640              17.2742                   0.0219
   2455390.596490              17.2528                   0.0219
   2455390.648880              17.3092                   0.0219
   2455390.669380              17.2740                   0.0232
   2455390.695170              17.2840                   0.0205
   2455390.719080              17.2874                   0.0205
   2455390.732200              17.2766                   0.0191
   2455390.744630              17.2834                   0.0191
   2455390.757340              17.2822                   0.0191
   2455390.770040              17.2919                   0.0178
   2455390.782620              17.3117                   0.0191
   2455390.795170              17.2696                   0.0205
   2455390.807750              17.2712                   0.0191
   2455390.820250              17.2788                   0.0219
   2455391.468140              17.2674                   0.0289
   2455391.513790              17.3008                   0.0219
   2455391.527690              17.2973                   0.0205
   2455391.577630              17.2838                   0.0205
   2455391.612180              17.2686                   0.0191
   2455391.648630              17.3001                   0.0219
   2455391.686890              17.2753                   0.0191
   2455391.721440              17.2799                   0.0191
   2455391.755660              17.2910                   0.0219
   2455391.792130              17.2981                   0.0232
   2455391.804720              17.3103                   0.0232
   2455391.817370              17.3272                   0.0219
   2455391.829840              17.2713                   0.0205
   2455391.842180              17.2760                   0.0232
   2455392.464760              17.2847                   0.0317
   2455392.477470              17.2913                   0.0232
   2455392.489940              17.2732                   0.0232
   2455392.502570              17.3199                   0.0219
   2455392.515320              17.3059                   0.0219
   2455392.528670              17.2894                   0.0219
   2455392.541560              17.3051                   0.0219
   2455392.555330              17.2799                   0.0205
   2455392.590100              17.2923                   0.0191
   2455392.624980              17.2937                   0.0178
   2455392.661760              17.3015                   0.0191
   2455392.700220              17.2865                   0.0205
   2455392.735080              17.2932                   0.0178
   2455392.769710              17.2866                   0.0205
   2455392.782220              17.2632                   0.0191
   2455392.794810              17.2619                   0.0191
   2455392.807380              17.2975                   0.0191
   2455392.819820              17.2765                   0.0191
   2455393.635180              17.2978                   0.0219
   2455393.674910              17.3364                   0.0232
   2455393.687850              17.3112                   0.0219
   2455395.805110              17.3325                   0.0246
   2455395.815000              17.3238                   0.0246
   2455395.827380              17.3096                   0.0260
   2455396.596410              17.2462                   0.0219
   2455396.609860              17.2618                   0.0205
   2455396.623080              17.2652                   0.0219
   2455396.659520              17.2783                   0.0205
   2455396.672160              17.3002                   0.0191
   2455396.706740              17.3242                   0.0205
   2455396.719190              17.3172                   0.0191
   2455396.754000              17.2740                   0.0178
   2455396.766560              17.2716                   0.0191
   2455396.779330              17.2790                   0.0205
   2455396.791990              17.2597                   0.0219
   2455396.804720              17.2951                   0.0232
   2455397.614660              17.2952                   0.0260
   2455402.649170              17.2900                   0.0346
   2455403.465490              17.3014                   0.0303
   2455403.477850              17.2782                   0.0205
   2455403.490470              17.2816                   0.0219
   2455403.502970              17.3126                   0.0205
   2455403.515420              17.2523                   0.0205
   2455403.527630              17.2922                   0.0191
   2455403.540210              17.2594                   0.0205
   2455403.552570              17.2915                   0.0205
   2455403.565140              17.2978                   0.0205
   2455403.578100              17.3137                   0.0205
   2455403.591350              17.2642                   0.0219
   2455403.604940              17.2844                   0.0205
   2455403.619380              17.2838                   0.0219
   2455403.632170              17.2930                   0.0205
   2455403.644970              17.2879                   0.0219
   2455403.657970              17.2796                   0.0219
   2455403.670450              17.3200                   0.0205
   2455403.683040              17.3036                   0.0219
   2455403.695790              17.2801                   0.0219
   2455403.709730              17.2712                   0.0205
   2455403.724020              17.2519                   0.0219
   2455403.736600              17.2928                   0.0232
   2455403.749200              17.2868                   0.0232
   2455403.761820              17.2630                   0.0275
   2455403.774540              17.3128                   0.0303
   2455403.787050              17.2524                   0.0303
   2455404.465750              17.2674                   0.0303
   2455404.478300              17.2813                   0.0205
   2455404.490960              17.3049                   0.0219
   2455404.503630              17.2905                   0.0205
   2455404.516160              17.2996                   0.0219
   2455404.528780              17.2820                   0.0219
   2455404.541440              17.2956                   0.0219
   2455404.553960              17.2994                   0.0219
   2455404.566490              17.2784                   0.0232
   2455404.579270              17.2910                   0.0232
   2455404.592360              17.2716                   0.0219
   2455404.606280              17.2625                   0.0232
   2455404.619810              17.2645                   0.0205
   2455404.634970              17.2706                   0.0205
   2455404.648430              17.2746                   0.0219
   2455404.661840              17.2801                   0.0205
   2455404.674550              17.2767                   0.0205
   2455404.688310              17.2974                   0.0219
   2455404.700760              17.2595                   0.0219
   2455404.713410              17.2982                   0.0232
   2455404.726120              17.3023                   0.0246
   2455404.740280              17.3181                   0.0232
   2455404.752910              17.2924                   0.0219
   2455404.768280              17.3284                   0.0232
   2455404.784030              17.2876                   0.0246
   2455405.612100              17.2576                   0.0260
   2455405.626340              17.2899                   0.0246
   2455405.638830              17.3102                   0.0246
   2455405.651390              17.3232                   0.0246
   2455405.665900              17.2894                   0.0232
   2455405.678620              17.2858                   0.0232
   2455405.691280              17.2721                   0.0232
   2455405.703970              17.3305                   0.0246
   2455405.716440              17.2728                   0.0219
   2455405.729050              17.3380                   0.0317
   2455405.741440              17.3246                   0.0219
   2455405.754020              17.3083                   0.0232
   2455405.766560              17.2838                   0.0219
   2455405.779070              17.3288                   0.0232
   2455405.791560              17.2866                   0.0219
   2455407.466020              17.3266                   0.0404
   2455407.480830              17.3324                   0.0246
   2455407.493260              17.2997                   0.0232
   2455407.505820              17.2942                   0.0232
   2455407.518720              17.2974                   0.0232
   2455407.543880              17.3054                   0.0232
   2455407.556930              17.3258                   0.0219
   2455407.569570              17.2802                   0.0219
   2455407.596060              17.3190                   0.0246
   2455407.610200              17.3163                   0.0246
   2455407.661190              17.3148                   0.0232
   2455407.673690              17.2797                   0.0246
   2455407.687430              17.2916                   0.0232
   2455407.700100              17.2994                   0.0232
   2455407.712880              17.2872                   0.0232
   2455407.725530              17.3202                   0.0232
   2455407.738170              17.3010                   0.0232
   2455407.750830              17.3125                   0.0219
   2455407.763460              17.2976                   0.0232
