\STAR_ID                              = "OGLE 2011-BLG-265L
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h57m47.72s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-27d23m40.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "54"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2455752.565074"
\MAXIMUM_DATE                         = "2455758.605820"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "16.5795"
\MAXIMUM_VALUE                        = "17.0398"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Skowron et al. 2015"
\BIBCODES                             = "2014arXiv1410.8252S"
\TELESCOPE                            = "OPD (0.6 m)"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "I"
\OBSERVATORY_SITE                     = "Observatorio do Pico dos Dias (OPD), Brazil"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2455752.565074              15.6030                   0.0058
   2455752.576368              15.5902                   0.0065
   2455752.587381              15.6022                   0.0061
   2455752.598669              15.5965                   0.0062
   2455752.610062              15.5984                   0.0061
   2455752.621633              15.5918                   0.0061
   2455752.632272              15.5970                   0.0065
   2455752.643767              15.5972                   0.0064
   2455752.654904              15.5940                   0.0061
   2455752.666310              15.5921                   0.0062
   2455752.678115              15.5984                   0.0067
   2455752.688674              15.5981                   0.0064
   2455752.699854              15.5833                   0.0064
   2455752.711135              15.5920                   0.0064
   2455752.722919              15.5833                   0.0069
   2455752.733971              15.5822                   0.0064
   2455752.744509              15.5791                   0.0068
   2455752.755780              15.5806                   0.0065
   2455752.767723              15.5841                   0.0076
   2455752.779035              15.5720                   0.0068
   2455753.568290              15.5131                   0.0102
   2455753.582099              15.5092                   0.0065
   2455753.592832              15.5209                   0.0076
   2455753.602290              15.5154                   0.0092
   2455753.616814              15.5053                   0.0128
   2455753.625322              15.5105                   0.0065
   2455753.634656              15.5055                   0.0079
   2455753.646381              15.5177                   0.0073
   2455753.656974              15.5103                   0.0068
   2455753.666285              15.5069                   0.0112
   2455753.680890              15.5033                   0.0101
   2455753.689150              15.5062                   0.0138
   2455753.701702              15.5034                   0.0081
   2455753.712673              15.5100                   0.0095
   2455753.721286              15.5051                   0.0081
   2455753.733088              15.5068                   0.0072
   2455753.743636              15.5007                   0.0072
   2455753.754776              15.5057                   0.0076
   2455757.574750              15.1272                   0.0071
   2455757.583442              15.1257                   0.0066
   2455757.591969              15.1243                   0.0062
   2455757.600803              15.1178                   0.0065
   2455757.609657              15.1197                   0.0062
   2455757.618217              15.1192                   0.0064
   2455757.627183              15.1212                   0.0064
   2455758.556963              15.1422                   0.0073
   2455758.563110              15.1251                   0.0072
   2455758.569118              15.1432                   0.0071
   2455758.574953              15.1424                   0.0076
   2455758.581618              15.1408                   0.0071
   2455758.587291              15.1489                   0.0071
   2455758.593727              15.1357                   0.0071
   2455758.599089              15.1460                   0.0081
   2455758.605820              15.1400                   0.0071
