\STAR_ID                              = "MOA-bin-001L"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h51m10.20s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-29d47m38.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "7232"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2453824.091490"
\MAXIMUM_DATE                         = "2454413.892660"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Bennett et al. 2012"
\BIBCODES                             = "2012ApJ...757..119B"
\TELESCOPE                            = "MOA-II Telescope (1.8 m)"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "I+R"
\OBSERVATORY_SITE                     = "Mt. John Observatory, NZ"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COMMENT                              = "none"
|            HJD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY| RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           real|               real|                  real|          real|             real|
|           days|                mag|                   mag|              |                 |
  2453868.102990             11.5493                 0.0429
  2453868.110760             11.4796                 0.0431
  2453868.117880             11.5279                 0.0455
  2453868.125010             11.5533                 0.0514
  2453868.132130             11.4338                 0.0441
  2453868.139260             11.5074                 0.0497
  2453868.147790             11.5553                 0.0492
  2453868.154920             11.5760                 0.0485
  2453868.162040             11.4850                 0.0571
  2453868.169150             11.5137                 0.0489
  2453868.177540             11.4356                 0.0698
  2453868.185070             11.4702                 0.0502
  2453868.194770             11.5073                 0.0517
  2453868.201900             11.5436                 0.0639
  2453868.209020             11.5005                 0.0523
  2453868.216150             11.5839                 0.0639
  2453868.223950             11.4461                 0.0737
  2453868.231080             11.5069                 0.0577
  2453868.238210             11.4545                 0.0629
  2453868.245340             11.4373                 0.0644
  2453868.252460             11.4713                 0.0588
  2453868.259590             11.5609                 0.0737
  2453868.266720             11.5499                 0.0619
  2453868.273840             11.6022                 0.0714
  2453872.931100             11.5098                 0.1008
  2453872.938220             11.6601                 0.0846
  2453872.945340             11.4475                 0.0856
  2453872.952480             11.6610                 0.1348
  2453872.959600             11.4159                 0.0684
  2453872.967240             11.5219                 0.0634
  2453872.974370             11.5188                 0.0801
  2453872.981480             11.3752                 0.0619
  2453872.988610             11.2556                 0.1413
  2453872.995730             11.2214                 0.1013
  2453873.003010             11.3943                 0.0979
  2453873.010130             11.3748                 0.1214
  2453873.017250             11.4535                 0.1162
  2453873.024390             11.5315                 0.0568
