\STAR_ID                              = "MOA 2009-BLG-266L"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h48m01.95s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-35d00m19.5s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "929"
\TIME_REFERENCE_FRAME                 = "Geocentric JD"
\MINIMUM_DATE                         = "2452115.78469"
\MAXIMUM_DATE                         = "2454955.70115"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "15.7650"
\MAXIMUM_VALUE                        = "15.8650"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Muraki et al. 2011"
\BIBCODES                             = "2011ApJ...741...22M"
\TELESCOPE                            = "unknown"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "I (Johnson)"
\OBSERVATORY_SITE                     = "unknown"
\COLUMN_JD                            = "Julian Day"
|           JD |     RELATIVE_MAGNITUDE |    MAGNITUDE_UNCERTAINTY |
|         real |                   real |                     real |
|         days |                    mag |                      mag |
  2452912.60044                  15.8340                     0.0105
  2452923.58041                  15.8250                     0.0117
  2452933.57454                  15.8130                     0.0105
  2453047.86611                  15.8100                     0.0105
  2453056.87365                  15.8460                     0.0105
  2453060.89314                  15.8240                     0.0105
  2453066.88653                  15.8430                     0.0105
  2453069.83914                  15.8350                     0.0105
  2453071.84675                  15.8450                     0.0105
  2453074.83434                  15.8320                     0.0105
  2453076.87160                  15.8340                     0.0105
  2453078.88116                  15.8140                     0.0117
  2453081.77445                  15.8470                     0.0105
  2453083.89990                  15.8090                     0.0093
  2453085.91623                  15.8120                     0.0105
  2453087.91538                  15.8180                     0.0105
  2453088.73113                  15.8160                     0.0093
  2453090.82971                  15.8350                     0.0105
  2453092.80577                  15.8370                     0.0117
  2453097.76853                  15.8120                     0.0105
  2453099.76285                  15.8250                     0.0117
  2453101.70431                  15.8170                     0.0143
  2453103.70713                  15.8420                     0.0130
  2453105.76651                  15.8310                     0.0182
  2453107.84752                  15.8110                     0.0105
  2453109.68484                  15.8180                     0.0105
  2453110.69546                  15.8080                     0.0105
  2453112.69595                  15.8220                     0.0105
  2453113.73914                  15.8210                     0.0093
  2453114.91340                  15.8160                     0.0093
  2453115.73283                  15.8300                     0.0093
  2453118.71417                  15.8290                     0.0105
  2453122.74740                  15.8350                     0.0105
  2453124.92393                  15.8220                     0.0117
  2453126.66294                  15.8110                     0.0093
  2453127.66499                  15.8380                     0.0105
  2453128.68341                  15.8260                     0.0105
  2453129.66281                  15.8380                     0.0117
  2453130.82528                  15.8380                     0.0117
  2453131.82473                  15.8220                     0.0130
  2453134.63207                  15.8080                     0.0117
  2453135.69834                  15.8300                     0.0105
  2453137.80634                  15.8270                     0.0093
  2453138.89543                  15.8390                     0.0105
  2453139.69421                  15.8170                     0.0093
  2453140.66168                  15.8370                     0.0105
  2453141.82535                  15.8310                     0.0105
  2453144.65761                  15.8350                     0.0105
  2453145.72544                  15.8440                     0.0117
  2453147.81905                  15.8460                     0.0105
  2453152.62330                  15.8040                     0.0105
  2453153.62469                  15.8380                     0.0105
  2453153.91168                  15.8380                     0.0105
  2453154.70093                  15.8190                     0.0117
  2453156.60907                  15.8210                     0.0105
  2453158.64952                  15.8320                     0.0117
  2453162.66666                  15.8490                     0.0105
  2453163.58490                  15.8210                     0.0093
  2453163.90629                  15.8620                     0.0117
  2453164.57833                  15.8320                     0.0093
  2453165.57802                  15.8340                     0.0105
  2453166.78891                  15.8650                     0.0117
  2453167.80360                  15.8250                     0.0105
  2453168.61915                  15.8410                     0.0105
  2453169.58945                  15.8320                     0.0093
  2453170.68435                  15.8380                     0.0081
  2453171.60229                  15.8170                     0.0093
  2453172.59202                  15.8240                     0.0093
  2453174.57802                  15.8100                     0.0093
  2453174.89715                  15.8150                     0.0105
  2453175.57925                  15.8250                     0.0093
  2453176.60523                  15.8340                     0.0105
  2453179.66551                  15.8380                     0.0105
  2453180.54004                  15.8380                     0.0105
  2453182.61365                  15.8340                     0.0105
  2453183.54718                  15.8210                     0.0105
  2453183.57731                  15.8340                     0.0093
  2453184.55733                  15.8430                     0.0105
  2453184.82415                  15.8360                     0.0105
  2453191.85668                  15.8150                     0.0105
  2453193.72827                  15.8380                     0.0105
  2453194.70375                  15.8520                     0.0105
  2453195.51255                  15.8180                     0.0093
  2453196.51091                  15.8380                     0.0130
  2453197.74664                  15.8120                     0.0093
  2453199.54660                  15.8340                     0.0105
  2453202.60647                  15.8350                     0.0130
  2453203.55051                  15.8060                     0.0093
  2453205.54703                  15.8350                     0.0105
  2453206.52905                  15.8080                     0.0093
  2453207.53208                  15.8220                     0.0105
