\STAR_ID                              = "OGLE 2013-BLG-341L B"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h52m07.49s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-29d50m46.0s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "995"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2456356.211220"
\MAXIMUM_DATE                         = "2456455.989720"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "12.973209"
\MAXIMUM_VALUE                        = "18.588510"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Gould et al. 2014"
\BIBCODES                             = "2014Sci...345...46G"
\TELESCOPE                            = "MOA Telescope (1.8 m)"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "I+R"
\OBSERVATORY_SITE                     = "New Zealand"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2456356.211220            18.280299                 0.128750
   2456359.069730            18.309537                 0.086823
   2456359.081470            18.244738                 0.077376
   2456359.132890            18.338353                 0.060423
   2456359.143480            18.276618                 0.054402
   2456359.154070            18.263156                 0.051928
   2456359.165820            18.588510                 0.155122
   2456359.176530            18.327412                 0.067807
   2456359.187110            18.251007                 0.066618
   2456359.198870            18.378273                 0.061684
   2456359.209480            18.322051                 0.064745
   2456359.220080            18.217382                 0.080670
   2456360.064400            18.112297                 0.083543
   2456360.071440            18.376195                 0.103082
   2456360.079660            18.346250                 0.081267
   2456360.086710            18.377010                 0.078261
   2456361.077610            18.264231                 0.125556
   2456361.085840            18.282358                 0.125456
   2456361.143360            18.347275                 0.064896
   2456361.153940            18.286258                 0.057802
   2456361.164520            18.305836                 0.058831
   2456361.176330            18.412677                 0.070651
   2456361.186910            18.281622                 0.050123
   2456361.197490            18.222010                 0.056137
   2456361.209240            18.219253                 0.052317
   2456361.219830            18.312959                 0.066141
   2456362.057230            18.095599                 0.094143
   2456362.072520            18.368766                 0.105075
   2456362.083110            18.224010                 0.081265
   2456362.093700            18.289432                 0.089686
   2456362.104270            18.294227                 0.106815
   2456362.116020            18.208187                 0.090566
   2456362.165720            18.270827                 0.112110
   2456362.176290            18.390962                 0.065120
   2456362.186870            18.238698                 0.054362
   2456362.200970            18.224398                 0.049877
   2456362.211560            18.277095                 0.050193
   2456362.222130            18.275255                 0.063426
   2456363.127650            18.330893                 0.075773
   2456363.138220            18.265683                 0.054216
   2456363.148790            18.221652                 0.060038
   2456363.160590            18.305518                 0.058314
   2456363.171170            18.178696                 0.053232
   2456363.182960            18.195179                 0.052103
   2456363.198160            18.173182                 0.075400
   2456363.209900            18.348518                 0.072017
   2456363.221650            18.328138                 0.088128
   2456364.054390            18.196293                 0.053178
   2456364.061430            18.274310                 0.051607
   2456364.073170            18.368786                 0.080144
   2456364.122030            18.226488                 0.056614
   2456364.132610            18.269066                 0.047161
   2456364.143260            18.220199                 0.051202
   2456364.155010            18.214765                 0.052825
   2456364.165590            18.268957                 0.055071
   2456364.176210            18.289651                 0.062755
   2456364.187960            18.252649                 0.069373
   2456364.198550            18.259703                 0.076963
   2456364.209140            18.293143                 0.063700
   2456364.220920            18.249823                 0.073613
   2456364.232680            18.242917                 0.100910
   2456365.052730            18.457273                 0.115940
   2456365.059780            18.255644                 0.074875
   2456365.071530            18.128853                 0.070257
   2456365.086190            18.252898                 0.058886
   2456365.109780            18.240549                 0.055396
   2456365.120350            18.245753                 0.081406
   2456365.130920            18.225990                 0.055559
   2456365.142700            18.253684                 0.061214
   2456365.153300            18.253634                 0.055343
   2456365.163880            18.237922                 0.052302
   2456365.175630            18.181453                 0.046512
   2456365.186240            18.201369                 0.049962
   2456365.196810            18.311377                 0.059208
   2456365.208580            18.245236                 0.048260
   2456365.219160            18.309925                 0.064689
   2456365.229750            18.344440                 0.091492
   2456366.153680            18.184539                 0.085837
   2456367.052390            18.358990                 0.122574
   2456367.059430            18.349751                 0.123644
   2456367.072370            18.319037                 0.094687
   2456367.088720            18.305399                 0.081910
   2456367.100500            18.336155                 0.069763
   2456367.112270            18.194372                 0.066674
   2456367.128720            18.254012                 0.049254
   2456367.139320            18.234957                 0.060722
   2456367.153420            18.212297                 0.045192
   2456367.166400            18.255335                 0.103153
   2456367.179310            18.298644                 0.099521
   2456367.192250            18.203539                 0.055943
   2456367.208720            18.224428                 0.057361
   2456367.219310            18.240459                 0.055794
   2456367.234590            18.350517                 0.068197
   2456371.032200            18.252380                 0.082956
   2456371.047950            18.082396                 0.087596
   2456371.049120            18.222886                 0.074110
   2456371.059700            18.055609                 0.075117
   2456371.070270            18.176546                 0.093624
   2456371.204740            18.266589                 0.064344
   2456371.215310            18.221482                 0.067074
   2456371.225890            18.272588                 0.056821
   2456372.028150            18.188809                 0.073573
   2456372.112350            18.168344                 0.061824
   2456372.134740            18.192153                 0.054383
   2456372.146550            18.192760                 0.045634
   2456372.157130            18.131103                 0.059823
   2456372.167710            18.219213                 0.052774
   2456372.218950            18.200165                 0.059775
   2456372.230700            18.153642                 0.066457
   2456373.030520            18.198732                 0.086907
   2456373.031940            18.183822                 0.065274
   2456373.042510            18.161635                 0.074757
   2456373.053110            18.189714                 0.085616
