\STAR_ID                              = "OGLE 2011-BLG-265L
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h57m47.72s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-27d23m40.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "222"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2455739.322931"
\MAXIMUM_DATE                         = "2455780.280853"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "17.1180"
\MAXIMUM_VALUE                        = "18.1810"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Skowron et al. 2015"
\BIBCODES                             = "2014arXiv1410.8252S"
\TELESCOPE                            = "Wise Observatory (1.0 m)"
\INSTRUMENT                           = "four-CCD mosaic camera"
\TIME_SERIES_DATA_FILTER              = "I"
\OBSERVATORY_SITE                     = "Wise Observatory, Israel"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2455767.379362              15.4625                   0.0194
   2455767.401119              15.5128                   0.0185
   2455767.417553              15.5013                   0.0201
   2455768.246297              15.5472                   0.0235
   2455768.272110              15.5633                   0.0219
   2455768.293661              15.5564                   0.0224
   2455768.315383              15.5714                   0.0208
   2455768.336933              15.5956                   0.0203
   2455768.358333              15.5898                   0.0203
   2455768.380113              15.5426                   0.0207
   2455768.401606              15.5725                   0.0208
   2455768.415250              15.5760                   0.0197
   2455769.243461              15.6374                   0.0273
   2455769.265346              15.6130                   0.0260
   2455769.286815              15.6257                   0.0261
   2455769.312869              15.5644                   0.0247
   2455769.334562              15.5783                   0.0225
   2455769.356257              15.5968                   0.0254
   2455769.377685              15.6141                   0.0349
   2455769.399372              15.6281                   0.0326
   2455769.412971              15.5748                   0.0329
   2455771.243480              15.6934                   0.0322
   2455771.265005              15.7794                   0.0290
   2455771.286473              15.7404                   0.0294
   2455771.308046              15.7522                   0.0236
   2455771.329456              15.7616                   0.0248
   2455771.350949              15.7545                   0.0242
   2455771.372660              15.7901                   0.0231
   2455771.394059              15.7204                   0.0258
   2455772.245738              15.8677                   0.0448
   2455772.267030              15.8473                   0.0441
   2455772.288572              15.8365                   0.0360
   2455772.310167              15.8389                   0.0251
   2455772.331881              15.7794                   0.0254
   2455772.353590              15.8413                   0.0311
   2455772.375279              15.8509                   0.0311
   2455772.397025              15.8210                   0.0292
   2455773.248359              15.8665                   0.0504
   2455773.291551              15.9087                   0.0546
   2455773.347969              15.8725                   0.0380
   2455773.369677              15.8809                   0.0368
   2455773.391134              15.8653                   0.0337
   2455774.259047              15.8857                   0.0400
   2455774.280666              15.8569                   0.0485
   2455774.366610              15.8785                   0.0436
   2455774.388286              15.9038                   0.0488
   2455775.239851              16.0172                   0.0358
   2455775.261296              16.0086                   0.0326
   2455775.282927              15.9719                   0.0287
   2455775.304325              16.0074                   0.0301
   2455775.325713              15.9719                   0.0405
   2455775.350770              16.0172                   0.0314
   2455775.372307              16.0493                   0.0284
   2455775.393799              15.9976                   0.0306
   2455776.235657              16.0332                   0.0512
   2455776.257276              16.0394                   0.0327
   2455776.278919              16.0493                   0.0334
   2455776.300387              16.0308                   0.0327
   2455776.321624              16.0891                   0.0299
   2455776.343324              16.0716                   0.0342
   2455776.365255              16.0444                   0.0359
   2455776.386839              16.0357                   0.0442
   2455777.243219              16.0271                   0.0396
   2455777.264456              16.0991                   0.0408
   2455777.286087              16.1141                   0.0345
   2455777.307243              16.0866                   0.0343
   2455777.328991              16.0866                   0.0407
   2455777.350677              16.1593                   0.0361
   2455777.372551              16.1518                   0.0347
   2455777.393950              16.0716                   0.0361
   2455778.245648              16.1228                   0.0384
   2455778.267140              16.1116                   0.0325
   2455778.288690              16.1191                   0.0332
   2455778.310181              16.1872                   0.0376
   2455778.331846              16.1279                   0.0326
   2455778.353488              16.1644                   0.0322
   2455778.375152              16.1682                   0.0335
   2455778.396842              16.1291                   0.0436
   2455779.239215              16.2063                   0.0535
   2455779.260693              16.1910                   0.0422
   2455779.282517              16.2025                   0.0409
   2455779.303948              16.2640                   0.0428
   2455779.325348              16.1480                   0.0470
   2455779.347035              16.1467                   0.0490
   2455779.368454              16.2127                   0.0377
   2455779.389949              16.1530                   0.0445
   2455780.237766              16.2383                   0.0599
   2455780.259223              16.2331                   0.0485
   2455780.280853              16.2280                   0.0498
