 63028 1739.03  323.79 17.261  4.287 12.974  14   0 0.051  255   0 0.018
 63029 1652.43  385.96 15.723  9.999 99.999  14   0 0.020    0   0 9.999
 63030 1779.58  426.77 13.696  0.925 12.770  14   0 0.022  255   1 0.011
 63039 1707.66  178.43 17.069  3.467 13.603   9   0 0.010  170   2 0.009
 63040 1723.84  213.43 19.750  6.310 13.440  12   0 1.036  227   0 0.937
 63041 1810.44  234.41 16.239  2.202 14.037  14   0 0.009  238   2 0.006
 63043 1579.92  275.98 15.938  2.128 13.810  14   0 0.006  250   0 0.005
 63045 1604.43  361.83 16.720  2.852 13.868  14   0 0.006  254   1 0.005
 63047 1553.63  377.76 18.874  4.951 13.923  14   0 0.060  256   0 0.048
 63049 1654.73  390.26 17.339  9.999 99.999  14   0 0.039    0   0 9.999
 63052 1523.83  468.33 16.416  2.247 14.168  14   0 0.006  256   0 0.005
 63077 1574.27  167.49 17.003  2.639 14.364   7   0 0.008  155   1 0.007
 63079 1486.07  181.82 18.080  2.777 15.303   9   0 0.014  177   0 0.007
 63082 1834.32  202.08 18.700  3.436 15.264  12   0 0.032  213   0 0.008
 63084 1677.62  217.48 17.920  2.714 15.207  13   0 0.017  230   1 0.010
 63086 1562.73  225.70 17.124  2.458 14.665  13   0 0.011  234   0 0.005
 63090 1489.18  269.76 17.858  3.118 14.740  14   0 0.013  248   1 0.006
 63091 1451.26  283.74 17.557  2.367 15.190  14   0 0.015  249   1 0.005
 63095 1584.00  319.36 18.494  3.948 14.546  14   0 0.018  254   1 0.008
 63096 1729.18  349.92 16.069  1.157 14.912  14   0 0.008  254   1 0.007
 63097 1511.35  361.84 17.192  2.525 14.667  14   0 0.006  254   1 0.004
 63159 1671.08  216.79 19.023  2.906 16.117  13   0 0.056  231   0 0.013
 63162 1407.35  156.53 18.230  9.999 99.999   7   0 0.010    0   0 9.999
 63164 1382.21  189.78 18.115  2.656 15.459  11   0 0.013  193   1 0.008
 63166 1801.24  196.96 19.708  3.488 16.220  11   0 0.084  203   0 0.009
 63167 1427.59  202.41 18.511  3.103 15.408  12   0 0.012  215   0 0.006
 63171 1463.92  247.23 18.224  2.185 16.039  14   0 0.014  245   0 0.007
 63174 1445.02  286.17 17.367  1.453 15.914  14   0 0.014  250   0 0.009
 63175 1721.55  289.85 18.531  2.909 15.621  13   1 0.016  249   2 0.010
 63177 1761.90  311.83 18.855  2.656 16.199  13   1 0.033  253   1 0.010
 63178 1788.57  312.14 18.680  2.370 16.310  13   1 0.020  253   1 0.009
