# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_1947.dat PSPL     2460957.115 0.862393 22.637 0.000000 0.00000 0.00000 0.00000 519.73803 0.000 0.000
WFIRST_0681.dat PSPL     2460961.775 0.488960 41.699 0.000000 0.00000 0.00000 0.00000 4680.21750 0.000 0.000
WFIRST_2397.dat PSPL     2460947.587 0.259149 86.405 0.000000 0.00000 0.00000 0.00000 26.47214 0.000 0.000
WFIRST_1031.dat PSPL     2460960.951 0.197230 72.568 0.000000 0.00000 0.00000 0.00000 76.88416 0.000 0.000
WFIRST_1402.dat PSPL     2460941.778 0.281989 64.014 0.000000 0.00000 0.00000 0.00000 1399.79507 0.000 0.000
WFIRST_1358.dat PSPL     2460970.893 0.921179 50.496 0.000000 0.00000 0.00000 0.00000 382.69632 0.000 0.000
WFIRST_0064.dat PSPL     2460944.160 0.292358 62.277 0.000000 0.00000 0.00000 0.00000 1053.42264 0.000 0.000
WFIRST_0693.dat PSPL     2460940.381 0.751877 68.820 0.000000 0.00000 0.00000 0.00000 586.97108 0.000 0.000
WFIRST_0848.dat PSPL     2460946.830 0.923754 52.306 0.000000 0.00000 0.00000 0.00000 126.89694 0.000 0.000
WFIRST_1711.dat PSPL     2460950.903 0.845872 8.550 0.000000 0.00000 0.00000 0.00000 876.99288 0.000 0.000
WFIRST_1065.dat PSPL     2460962.181 0.751404 88.150 0.000000 0.00000 0.00000 0.00000 1136.41016 0.000 0.000
WFIRST_1041.dat PSPL     2460969.867 0.448762 94.490 0.000000 0.00000 0.00000 0.00000 98.43452 0.000 0.000
WFIRST_1923.dat PSPL     2460950.397 0.194960 33.478 0.000000 0.00000 0.00000 0.00000 65.97060 0.000 0.000
WFIRST_2438.dat PSPL     2460959.121 0.900882 41.801 0.000000 0.00000 0.00000 0.00000 40.86355 0.000 0.000
WFIRST_0308.dat PSPL     2460955.712 0.158355 62.276 0.000000 0.00000 0.00000 0.00000 5261.52297 0.000 0.000
WFIRST_0873.dat Binary   2460957.836 0.035010 13.170 0.001398 0.13248 -0.19876 1.00421 3649.84032 0.000 0.000
WFIRST_0367.dat Binary   2460967.297 0.051249 62.383 0.000212 0.03316 -0.87026 -2.53991 24.79869 0.000 0.000
WFIRST_0389.dat Binary   2460942.218 0.156965 46.449 0.000547 -0.01620 -0.86544 2.99652 666.51476 0.000 0.000
WFIRST_0604.dat Binary   2460951.851 0.007169 76.099 0.001431 -0.06122 -0.06098 -2.31426 874.50857 0.000 0.000
WFIRST_2420.dat Binary   2460954.546 0.057670 35.665 0.000549 0.08759 -0.65357 0.50852 2979.97087 0.000 0.000
WFIRST_1556.dat GLPlanet 2460962.826 0.318383 71.480 0.006317 0.09679 -3.46256 -0.78723 71.53418 0.000 22.675
