2.460766500000000000e+06 1.872704414749836133e+01 2.000475097262815680e-02
2.460766510416666511e+06 1.869471178864623084e+01 1.970909476626325069e-02
2.460766520833333023e+06 1.872722634203593373e+01 2.000642951537419736e-02
2.460766531249999534e+06 1.872398484181320555e+01 1.997658687682497478e-02
2.460766541666666046e+06 1.871638810638388861e+01 1.990682237101546251e-02
2.460766552083332557e+06 1.868856441719701422e+01 1.965337783024720397e-02
2.460766562499999069e+06 1.867766545251296506e+01 1.955498154733847915e-02
2.460766572916665580e+06 1.870332317397940614e+01 1.978741010093863772e-02
2.460766583333332092e+06 1.868662672875116115e+01 1.963584818678629218e-02
2.460766593749998603e+06 1.867863351800069438e+01 1.956370130956200035e-02
2.460766604166665114e+06 1.872893917456470447e+01 2.002221658300271448e-02
2.460766614583331626e+06 1.872854870639056912e+01 2.001861656697207295e-02
2.460766624999998137e+06 1.871619435248598151e+01 1.990504622486586467e-02
2.460766635416664649e+06 1.868545678457419967e+01 1.962527164958943748e-02
2.460766645833331160e+06 1.872893307504833160e+01 2.002216034205497874e-02
2.460766656249997672e+06 1.870570236366915395e+01 1.980910220349253736e-02
2.460766666666664183e+06 1.869922085227361563e+01 1.975006323295661406e-02
2.460766677083330695e+06 1.871073917591500191e+01 1.985510349426002075e-02
2.460766687499997206e+06 1.869479846899609754e+01 1.970988152520176950e-02
2.460766697916663717e+06 1.873738123072349993e+01 2.010020867240914361e-02
2.460766708333330229e+06 1.872040084871281351e+01 1.994364291791389174e-02
2.460766718749996740e+06 1.869716698878211503e+01 1.973139168262011411e-02
2.460766729166663252e+06 1.867315913199962196e+01 1.951444239919679358e-02
2.460766739583329763e+06 1.873444894768735125e+01 2.007308434717921045e-02
2.460766749999996275e+06 1.872530420129105266e+01 1.998872808921900446e-02
2.460766760416662786e+06 1.872855970630184430e+01 2.001871797446073617e-02
2.460766770833329298e+06 1.871125090586228623e+01 1.985978310626967946e-02
2.460766781249995809e+06 1.866820466581105720e+01 1.946996869048452095e-02
