# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_0517.dat PSPL     2460966.410 0.650308 59.515 0.000000 0.00000 0.00000 0.00000 75.39392 0.000 0.000
WFIRST_1454.dat PSPL     2460963.144 0.020087 60.715 0.000000 0.00000 0.00000 0.00000 87.89147 0.000 0.000
WFIRST_0692.dat PSPL     2460954.158 0.187278 93.684 0.000000 0.00000 0.00000 0.00000 841.90755 0.000 0.000
WFIRST_0419.dat PSPL     2460950.725 0.983426 12.492 0.000000 0.00000 0.00000 0.00000 1656.99918 0.000 0.000
WFIRST_0964.dat PSPL     2460964.584 0.412407 6.253 0.000000 0.00000 0.00000 0.00000 60.02843 0.000 0.000
WFIRST_0533.dat PSPL     2460965.635 0.447245 52.595 0.000000 0.00000 0.00000 0.00000 411.83308 0.000 0.000
WFIRST_1366.dat PSPL     2460964.654 0.773462 7.165 0.000000 0.00000 0.00000 0.00000 226.48476 0.000 0.000
WFIRST_2223.dat PSPL     2460947.455 0.794721 95.707 0.000000 0.00000 0.00000 0.00000 1343.50690 0.000 0.000
WFIRST_0406.dat PSPL     2460970.596 0.176889 54.936 0.000000 0.00000 0.00000 0.00000 566.87924 0.000 0.000
WFIRST_0252.dat PSPL     2460958.829 0.734671 11.496 0.000000 0.00000 0.00000 0.00000 4611.86009 0.000 0.000
WFIRST_0257.dat PSPL     2460968.795 0.190668 78.732 0.000000 0.00000 0.00000 0.00000 165.69229 0.000 0.000
WFIRST_1547.dat PSPL     2460955.576 0.289020 98.579 0.000000 0.00000 0.00000 0.00000 1509.98920 0.000 0.000
WFIRST_1772.dat PSPL     2460960.250 0.284910 63.916 0.000000 0.00000 0.00000 0.00000 25.21932 0.000 0.000
WFIRST_2160.dat PSPL     2460954.255 0.694376 69.426 0.000000 0.00000 0.00000 0.00000 3693.87085 0.000 0.000
WFIRST_2186.dat PSPL     2460942.987 0.034533 40.134 0.000000 0.00000 0.00000 0.00000 204.14442 0.000 0.000
WFIRST_1486.dat Binary   2460970.079 0.091036 29.179 0.001878 0.01169 -0.79127 2.55510 154.13781 0.000 0.000
WFIRST_0392.dat Binary   2460951.458 0.125969 99.874 0.003762 0.03912 -0.13994 -2.82371 3343.20224 0.000 0.000
WFIRST_0805.dat Binary   2460969.693 0.147798 20.392 0.003908 0.10171 -0.45733 -3.01755 202.45888 0.000 0.000
WFIRST_0658.dat Binary   2460952.818 0.100801 40.250 0.001145 0.04819 -0.02144 0.26203 46.43735 0.000 0.000
WFIRST_0027.dat Binary   2460955.140 0.048890 96.224 0.001215 -0.00803 -0.77798 -0.33442 1605.99634 0.000 0.000
WFIRST_0915.dat GLPlanet 2460962.889 0.228462 28.062 0.002073 -0.15301 -3.28478 0.24873 2934.21134 0.000 -19.198
WFIRST_1035.dat GLPlanet 2460955.148 0.414799 46.695 0.002301 -0.13836 -3.28117 0.61370 410.14326 0.000 -23.369
WFIRST_0665.dat GLPlanet 2460957.671 0.341114 27.994 0.002248 -0.13144 -3.85010 2.51169 67.36524 0.000 14.329
WFIRST_0962.dat GLPlanet 2460957.020 0.270694 46.429 0.001207 -0.11953 -3.31037 2.71947 117.91788 0.000 22.726
WFIRST_1132.dat GLPlanet 2460952.933 0.453553 34.399 0.001151 -0.11749 -3.64594 2.11110 73.12329 0.000 10.615
WFIRST_0472.dat GLPlanet 2460951.353 0.081605 29.337 0.001958 -0.16219 -3.31409 2.96603 846.64520 0.000 22.351
WFIRST_0794.dat GLPlanet 2460950.321 0.468171 29.775 0.003099 -0.19135 -3.24040 2.67133 2050.71910 0.000 23.308
WFIRST_2381.dat GLPlanet 2460960.876 0.156235 41.901 0.002388 -0.11304 -3.41605 0.37669 845.78467 0.000 -21.134
WFIRST_0321.dat GLPlanet 2460963.005 0.401622 61.930 0.003716 -0.11744 -3.23035 0.91118 220.99183 0.000 -23.249
WFIRST_1285.dat GLPlanet 2460963.708 0.321483 21.077 0.003399 -0.13959 -3.40623 0.58016 163.25020 0.000 -12.039
WFIRST_1327.dat GLPlanet 2460947.161 0.198641 36.102 0.004493 -0.10492 -3.44187 0.34009 28.30262 0.000 -16.146
WFIRST_2182.dat GLPlanet 2460952.791 0.257483 57.774 0.001606 -0.11403 -3.00786 0.62301 333.34180 0.000 -27.101
WFIRST_2218.dat GLPlanet 2460942.214 0.224804 29.556 0.000511 -0.13287 -3.36457 0.44207 94.82862 0.000 -17.178
WFIRST_1109.dat GLPlanet 2460953.731 0.273853 17.390 0.001126 -0.16450 -3.44176 0.41912 247.85844 0.000 -12.648
WFIRST_1980.dat GLPlanet 2460956.799 0.396475 34.572 0.001659 -0.14825 -3.17457 0.68853 24.79789 0.000 -19.885
WFIRST_1617.dat NCPlanet 2460964.236 0.029851 30.860 0.001344 -0.11748 -3.66890 -0.00488 591.34341 0.000 -16.904
WFIRST_0020.dat NCPlanet 2460968.470 0.417485 32.598 0.006310 -0.13041 -3.01693 2.30380 331.24658 0.000 14.927
WFIRST_1762.dat NCPlanet 2460952.583 0.055180 25.166 0.005667 -0.20018 -3.11942 3.01557 48.22891 0.000 24.073
WFIRST_2479.dat NCPlanet 2460943.254 0.045092 22.332 0.004505 -0.14419 -3.23307 0.13733 1454.51937 0.000 -15.128
WFIRST_1689.dat NCPlanet 2460956.181 0.476586 71.478 0.000765 -0.12188 -3.51463 2.08993 794.87615 0.000 22.460
WFIRST_0889.dat HMPlanet 2460964.288 0.000410 51.982 0.000173 -0.11930 -3.51183 -0.60230 31.37474 0.000 0.000
WFIRST_2113.dat HMPlanet 2460949.194 0.000367 44.654 0.007563 -0.16474 -3.25474 2.16568 243.02977 0.000 0.000
WFIRST_1118.dat HMPlanet 2460966.849 0.000229 56.674 0.001872 -0.16158 -3.38647 -1.13623 383.44956 0.000 0.000
WFIRST_0685.dat HMPlanet 2460956.480 0.000258 77.469 0.000455 -0.20011 -3.25892 2.57860 25.72462 0.000 0.000
WFIRST_1280.dat HMPlanet 2460941.437 0.000403 52.353 0.003115 -0.18462 -3.26403 -2.99531 265.79931 0.000 0.000
