    14  532.77  278.80 14.667  0.775 13.892  81   1 0.005 5045  18 0.007
    24  542.21  473.05 18.332  4.102 14.229  87   0 0.020 5518  27 0.010
    29  508.47  548.22 20.564  6.350 14.214  87   0 0.179 5544   1 0.094
    44  475.81  449.47 16.296  1.374 14.922  87   0 0.006 5523  21 0.006
    52  490.06  522.57 18.233  3.436 14.797  87   0 0.021 5518  26 0.007
    58  536.92  204.99 19.219  2.844 16.374  37   0 0.064 2696   5 0.018
    66  474.40  232.31 18.475  1.867 16.608  59   0 0.027 3914   8 0.017
    71  487.36  239.93 19.498  3.704 15.794  63   0 0.046 4189  14 0.009
    77  497.67  247.06 17.981  1.837 16.144  66   1 0.020 4382  13 0.011
    80  545.22  254.73 19.547  3.251 16.296  70   0 0.046 4581   8 0.013
    87  535.79  288.31 19.476  3.505 15.971  86   0 0.075 5175  16 0.016
    94  547.00  314.78 19.510  3.270 16.240  86   0 0.052 5416  23 0.012
    96  497.14  334.05 18.672  2.907 15.765  86   1 0.026 5509  21 0.009
   107  486.51  409.82 17.476  1.448 16.028  87   0 0.011 5515  20 0.009
   109  532.56  418.82 19.456  3.100 16.356  86   0 0.040 5512  26 0.015
   114  524.22  440.79 19.513  3.372 16.140  86   0 0.039 5515  25 0.012
   120  481.97  464.93 17.600  1.653 15.946  87   0 0.013 5514  22 0.009
   124  491.59  484.84 19.526  3.542 15.984  86   0 0.045 5515  20 0.010
   125  537.42  491.34 19.185  2.995 16.190  86   0 0.038 5515  22 0.014
   134  478.49  533.68 19.430  3.981 15.450  86   0 0.038 5518  26 0.008
   139  523.05  550.05 19.835  3.504 16.331  86   0 0.058 5519  18 0.019
   145  535.33  487.44 20.522  3.430 17.092  86   0 0.136 5514  22 0.028
   148  519.55  550.04 20.566  2.881 17.685  86   0 0.116 5506  24 0.075
   161  518.90  200.11 19.517  2.990 16.527  34   0 0.164 2432   2 0.027
   164  456.70  202.51 19.849  2.934 16.915  35   0 0.200 2588   8 0.022
   167  476.67  203.87 20.037  2.954 17.082  37   0 0.145 2646   5 0.028
   176  542.05  213.02 19.671  2.862 16.809  45   0 0.063 3077   9 0.025
   188  481.52  229.40 19.862  3.198 16.664  55   0 0.057 3847   9 0.017
   194  535.60  241.16 20.368  3.352 17.016  64   0 0.126 4208  10 0.023
   198  533.43  248.86 19.945  3.150 16.795  66   0 0.068 4440  11 0.020
   200  485.43  252.65 20.808  3.874 16.934  70   0 0.159 4531  11 0.018
   210  539.26  260.48 20.211  3.293 16.918  74   0 0.108 4714   9 0.021
   214  542.05  265.30 19.966  3.157 16.809  75   1 0.078 4810  13 0.022
   216  501.54  274.30 20.217  3.420 16.796  81   1 0.089 4960  15 0.017
   220  539.62  281.55 19.576  2.864 16.712  81   1 0.088 5077  21 0.044
   221  465.24  285.41 18.463  1.832 16.631  84   0 0.019 5136  10 0.014
   222  527.51  285.70 19.690  3.061 16.629  85   0 0.081 5144  17 0.028
   226  523.94  296.55 18.147  1.433 16.714  87   0 0.023 5280  17 0.017
   229  475.13  300.74 20.265  3.128 17.137  86   0 0.111 5313  10 0.020
   230  490.34  304.17 18.199  1.581 16.618  87   0 0.019 5345  11 0.014
   232  529.37  305.24 19.719  3.132 16.587  86   0 0.064 5353  11 0.016
   241  493.32  329.90 20.115  3.399 16.716  86   0 0.094 5488  26 0.021
   243  541.82  333.44 20.279  3.104 17.175  86   0 0.102 5513   6 0.022
   248  522.19  348.00 18.485  1.867 16.618  86   0 0.022 5517  12 0.014
   254  481.85  358.97 20.116  3.289 16.827  86   0 0.084 5523  10 0.015
   255  464.65  361.47 20.508  3.473 17.034  86   0 0.119 5523  10 0.018
   262  519.75  369.03 20.346  3.411 16.935  86   0 0.088 5519  13 0.017
   270  458.08  377.62 18.742  1.769 16.973  86   1 0.027 5518  14 0.017
   271  546.89  376.92 20.256  3.160 17.096  86   0 0.092 5513  17 0.022
   272  537.26  379.25 20.213  3.507 16.706  86   0 0.079 5512  22 0.015
   274  525.84  381.44 18.133  1.545 16.588  87   0 0.017 5523  12 0.014
   280  474.28  393.26 20.021  3.436 16.585  86   0 0.079 5519  17 0.014
   282  478.71  393.09 20.466  3.505 16.961  86   0 0.100 5516  18 0.019
   285  530.64  401.47 18.704  1.595 17.110  86   0 0.029 5512  18 0.023
   288  485.23  404.06 20.515  3.601 16.914  86   0 0.125 5524   9 0.019
   290  520.29  406.32 19.691  3.212 16.479  86   0 0.047 5518  21 0.016
   291  528.60  408.76 19.663  2.977 16.686  86   0 0.054 5516  20 0.017
   292  522.03  409.56 19.780  3.080 16.700  87   0 0.054 5521  15 0.019
   297  465.17  413.73 20.238  3.252 16.986  84   1 0.088 5519  13 0.018
   298  536.30  418.03 20.352  3.452 16.900  86   0 0.099 5517  20 0.025
   303  484.48  432.01 19.830  3.005 16.825  86   0 0.052 5519  13 0.016
   304  494.65  431.36 20.214  3.456 16.758  86   0 0.088 5519  13 0.015
   305  545.34  432.99 19.569  2.851 16.717  86   0 0.049 5511  24 0.023
   309  469.92  439.06 20.259  3.208 17.051  86   0 0.088 5519  13 0.020
   312  457.68  441.87 20.327  3.557 16.770  86   0 0.100 5525   8 0.017
   329  538.36  463.21 19.656  3.196 16.459  87   0 0.050 5507  26 0.020
   333  544.25  470.00 19.512  3.252 16.260  86   0 0.058 5526  17 0.054
   344  457.18  490.25 20.016  3.053 16.963  87   0 0.071 5525   7 0.019
   350  521.36  501.11 19.873  3.320 16.553  86   0 0.067 5517  15 0.015
   357  467.56  518.23 19.824  3.339 16.486  86   0 0.059 5515  17 0.013
   360  476.69  520.02 19.838  2.942 16.896  86   0 0.066 5523   9 0.018
   363  537.30  520.25 18.764  1.622 17.142  86   0 0.026 5511  19 0.023
   366  479.07  526.51 20.430  3.481 16.949  86   0 0.113 5520  12 0.021
   371  457.71  529.58 19.777  2.945 16.832  86   0 0.054 5516  17 0.016
   381  534.60  542.85 20.354  3.568 16.787  86   0 0.104 5512  21 0.019
   383  493.26  548.86 20.166  3.393 16.774  85   0 0.087 5520  13 0.019
   388  529.79  287.60 99.999  9.999 18.476   0   0 9.999 5118  15 0.155
   389  478.86  299.90 99.999  9.999 19.093   0   0 9.999 5294   9 0.112
   390  530.37  301.39 20.565  2.361 18.204  86   0 0.124 5313  10 0.062
   394  547.20  435.09 19.613  2.929 16.684  87   0 0.056 5515  20 0.023
   396  545.91  467.90 19.512  1.497 18.015  86   0 0.058 5503  12 0.156
   428  539.90  216.09 20.391  3.006 17.385  44   1 0.105 3234   5 0.049
   429  474.36  217.77 19.483  1.861 17.622  45   0 0.044 3339   4 0.032
   432  479.76  221.69 21.117  3.373 17.744  50   0 0.216 3504  10 0.037
   451  525.97  275.50 99.999  9.999 17.871   0   0 9.999 4968  24 0.097
   457  530.67  283.32 99.999  9.999 17.557   0   0 9.999 5055  20 0.151
