     1  313.15  174.77 99.999  9.999 99.999   0   0 9.999    0   0 9.999
     2  469.25  206.17 17.352  3.268 14.085   6   1 0.005  542   0 0.006
     3  506.59  218.92 99.999  9.999 99.999   0   0 9.999    0   0 9.999
     4  267.38  220.72 14.204  1.575 12.629   9   0 0.006  573   2 0.012
     5  442.97  219.20 15.258  0.964 14.293   8   0 0.064  577   0 0.077
     6  540.64  226.55 20.027  6.234 13.793  13   0 0.283  588   0 0.087
     8  320.75  230.76 18.334  4.061 14.274  16   0 0.019  594   0 0.006
    10  513.27  249.55 15.027  1.017 14.010  24   0 0.005  620   0 0.004
    13  355.09  266.20 14.024  0.445 13.579  25   0 0.004  634   2 0.003
    15  345.04  272.99 14.745  0.728 14.017  26   0 0.008  642   0 0.005
    17  344.37  284.69 18.577  4.837 13.739  27   0 0.068  652   0 0.018
    18  324.52  325.16 17.485  3.427 14.058  31   0 0.017  659   0 0.004
    19  491.54  330.49 18.637  4.679 13.959  31   0 0.041  660   0 0.013
    20  514.71  356.75 13.299  9.999 99.999  31   0 0.019    0   0 9.999
    21  499.37  376.56 14.361  1.836 12.526  31   0 0.006  659   2 0.016
    22  237.94  378.13 14.858  9.999 99.999  31   0 0.008    0   0 9.999
    24  326.47  388.48 15.420  1.583 13.837  31   0 0.004  659   2 0.003
    25  445.06  392.98 18.354  4.617 13.737  30   0 0.084  661   0 0.027
    26  327.74  403.86 14.514  0.746 13.767  31   0 0.004  659   2 0.003
    27  254.18  414.19 14.164  0.565 13.599  31   0 0.004  652   1 0.004
    28  209.82  440.34 15.367  1.519 13.848  31   0 0.004  519   0 0.004
    29  524.61  442.15 19.640  5.399 14.241  29   0 0.063  661   0 0.015
    31  313.56  457.56 17.681  4.127 13.555  31   0 0.017  661   0 0.007
    32  270.28  467.64 19.130  5.019 14.111  30   1 0.062  655   0 0.032
    33  306.21  476.28 15.947  1.735 14.211  31   0 0.005  656   5 0.003
    34  277.77  479.57 16.667  3.334 13.333  31   0 0.011  659   0 0.007
    35  250.49  487.62 18.738  4.737 14.001  31   0 0.067  652   0 0.028
    36  381.80  502.59 16.773  2.458 14.315  31   0 0.006  661   0 0.003
    37  328.11  503.81 17.952  3.602 14.350  31   0 0.013  660   1 0.004
    38  494.98  513.48 14.519  0.731 13.788  31   0 0.004  661   0 0.004
    39  541.86  525.59 19.914  6.279 13.635  29   0 0.191  661   0 0.104
    40  340.95  525.43 18.693  4.677 14.017  30   0 0.054  661   0 0.017
    42  337.65  541.84 13.136  0.432 12.704  31   0 0.017  659   2 0.011
    43  267.74  541.59 17.177  3.317 13.860  31   0 0.013  655   0 0.006
    44  238.55  552.78 16.871  3.119 13.752  31   0 0.008  640   0 0.004
    45  323.37  555.76 17.394  3.283 14.111  31   0 0.017  661   0 0.007
    46  218.07  200.77 99.999  9.999 14.366   0   0 9.999  453   1 0.006
    48  258.29  205.42 15.296  0.947 14.349   7   0 0.004  533   1 0.006
    49  213.86  217.56 15.688  1.021 14.667   8   0 0.007  474   0 0.005
    50  312.54  217.85 17.800  3.050 14.750   7   1 0.010  574   0 0.005
    51  418.17  220.40 20.815  6.518 14.297   9   0 0.155  579   0 0.135
    53  532.20  234.64 17.851  3.100 14.752  20   0 0.010  601   1 0.007
    55  456.64  252.37 18.334  3.770 14.563  25   0 0.019  621   1 0.005
    56  369.32  258.35 17.940  3.219 14.721  24   1 0.012  624   1 0.005
    57  319.25  276.19 17.802  3.086 14.717  26   0 0.013  644   2 0.005
    58  300.78  278.90 15.909  0.965 14.943  27   0 0.007  646   2 0.004
    59  343.89  279.06 15.769  0.885 14.883  27   0 0.009  648   0 0.012
    60  283.15  283.24 18.243  3.848 14.395  27   0 0.019  648   0 0.005
    61  517.20  286.21 18.993  4.138 14.855  26   0 0.029  652   0 0.007
    62  283.19  294.62 17.653  2.586 15.067  29   0 0.009  649   3 0.005
    68  239.76  324.48 18.107  3.044 15.063  31   0 0.013  637   3 0.005
    69  404.92  324.50 16.504  1.314 15.190  31   0 0.007  657   2 0.005
    70  526.27  325.57 18.466  3.502 14.965  31   0 0.036  659   1 0.008
    71  360.05  330.06 17.630  2.802 14.828  31   0 0.010  659   1 0.004
    72  327.99  336.90 17.866  3.078 14.788  31   0 0.011  659   1 0.005
    74  303.77  349.25 18.217  2.964 15.253  30   1 0.016  660   0 0.005
    75  390.20  351.09 18.337  3.580 14.757  31   0 0.013  658   2 0.006
    77  512.69  362.88 15.983  9.999 99.999  31   0 0.018    0   0 9.999
    78  304.42  363.30 17.836  2.706 15.130  30   1 0.012  660   1 0.005
    80  263.05  377.92 15.421  1.029 14.392  31   0 0.004  654   1 0.004
    81  534.39  376.18 99.999  9.999 14.987   0   0 9.999  661   0 0.078
    82  371.65  377.02 20.713  5.566 15.147  27   1 0.110  661   0 0.026
    83  527.58  380.99 19.013  3.844 15.168  31   0 0.045  660   1 0.008
    86  521.00  398.12 15.645  0.985 14.660  31   0 0.004  658   3 0.004
    91  534.83  417.80 18.678  3.453 15.225  30   0 0.024  659   2 0.006
    93  422.85  424.88 16.198  0.995 15.204  31   0 0.006  659   2 0.005
    95  434.69  445.42 18.466  3.977 14.489  31   0 0.024  660   1 0.007
    96  395.43  452.71 15.699  0.831 14.868  30   1 0.005  661   0 0.005
    97  358.98  465.79 19.031  4.247 14.784  31   0 0.036  660   1 0.006
   100  213.69  496.54 18.181  3.053 15.128  31   0 0.019  546   0 0.007
   101  245.70  507.44 16.479  1.509 14.970  31   0 0.025  650   0 0.021
   102  430.49  512.50 15.933  1.255 14.678  31   0 0.004  661   0 0.004
   104  487.36  516.44 15.814  0.944 14.871  31   0 0.006  659   2 0.007
   105  304.79  522.87 18.480  3.359 15.122  31   0 0.025  660   1 0.005
   106  312.82  529.15 18.510  3.475 15.035  31   0 0.026  659   2 0.005
   108  253.22  539.24 18.157  3.091 15.066  31   0 0.014  652   1 0.006
   109  207.59  542.03 17.334  2.899 14.435  31   0 0.011  508   0 0.005
   110  540.50  545.55 18.902  4.469 14.433  29   1 0.017  660   1 0.007
   111  396.02  553.06 19.300  4.100 15.199  29   0 0.034  660   1 0.006
