 19986  280.20 2180.36 17.216  2.094 15.122  89   1 0.011 6119  13 0.006
 19987  313.63 2187.08 16.795  1.207 15.588  90   0 0.016 6133   3 0.012
 19989  277.63 2204.11 17.576  1.761 15.815  90   0 0.013 6118  13 0.008
 19992  262.55 2214.48 16.949  1.334 15.615  89   1 0.009 6115  10 0.007
 19993  115.42 2216.02 17.582  1.820 15.762  80   0 0.012 4873  10 0.008
 19994  162.57 2216.78 17.503  1.840 15.662  89   0 0.015 5531   9 0.010
 19995   27.18 2220.68 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 19996   33.70 2229.05 99.999  9.999 17.048   0   0 9.999 1114   0 0.275
 19998  229.04 2231.88 17.353  1.990 15.363  90   0 0.012 6066  12 0.006
 19999  295.85 2236.54 17.693  2.129 15.564  90   0 0.016 6123  11 0.007
 20000  194.59 2239.91 17.347  2.177 15.170  89   1 0.013 5854   5 0.013
 20001  163.97 2242.15 17.260  1.794 15.466  89   1 0.010 5543  11 0.008
 20002  202.59 2244.98 17.342  2.172 15.170  90   0 0.010 5924  11 0.006
 20129  347.40 1987.36 18.778  2.231 16.547  90   0 0.027 6129   8 0.015
 20131  229.68 1997.37 17.932  1.848 16.084  90   0 0.015 6077   5 0.011
 20132  147.75 2000.49 16.970  1.042 15.928  87   0 0.011 5336  10 0.009
 20135  254.02 2009.98 18.251  1.950 16.301  90   0 0.023 6112   7 0.015
 20136  149.39 2011.40 18.554  1.890 16.664  87   0 0.026 5365   8 0.014
 20137  347.64 2014.08 18.774  2.148 16.625  89   0 0.028 6130   7 0.014
 20144   82.53 2035.79 18.483  1.951 16.532  57   0 0.026 3517   2 0.014
 20145  267.90 2036.32 18.032  2.061 15.971  90   0 0.020 6115  12 0.012
 20146  132.97 2042.73 18.062  2.197 15.865  84   0 0.019 5148  10 0.010
 20147   47.90 2043.44 99.999  9.999 16.588   0   0 9.999 1538   5 0.016
 20148  294.10 2047.37 17.478  1.340 16.138  90   0 0.012 6121  12 0.010
 20149  287.23 2052.33 18.736  2.015 16.721  90   0 0.032 6122  11 0.017
 20150  242.71 2056.30 18.781  2.165 16.616  90   0 0.030 6100   7 0.013
 20151  170.93 2058.13 18.659  1.947 16.712  88   1 0.027 5623   4 0.015
 20152   65.32 2059.94 18.614  2.146 16.469  45   0 0.029 2263   5 0.014
 20153  337.50 2062.62 17.785  1.245 16.540  90   0 0.019 6120  17 0.017
 20155   93.67 2067.94 18.866  2.081 16.786  65   0 0.033 4166   3 0.016
 20157  325.35 2073.97 18.237  2.201 16.036  89   1 0.025 6130   7 0.013
 20158  177.17 2078.64 17.898  1.828 16.070  90   0 0.019 5681  16 0.015
 20159  177.30 2074.18 18.482  2.038 16.443  90   0 0.028 5683  13 0.015
 20160   17.97 2076.33 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 20162   43.40 2081.15 99.999  9.999 16.699   0   0 9.999 1417   4 0.019
 20163   67.31 2082.68 18.280  1.810 16.470  48   0 0.023 2322   6 0.014
 20164  126.43 2082.41 18.608  1.342 17.266  84   0 0.027 5052  12 0.057
 20165  233.31 2090.52 17.875  1.373 16.503  90   0 0.013 6081  10 0.012
 20166  287.64 2097.44 17.485  1.292 16.193  90   0 0.010 6125   8 0.010
 20167  310.23 2097.64 17.826  1.956 15.870  90   0 0.020 6117  19 0.011
 20168  209.73 2105.02 18.161  1.902 16.259  90   0 0.017 5984   8 0.011
 20169  354.11 2105.36 18.131  2.117 16.014  90   0 0.020 6125  12 0.012
 20170   61.36 2109.54 17.930  2.074 15.855  40   0 0.031 2070   1 0.026
 20171   58.50 2105.07 17.989  1.376 16.613  40   0 0.021 1940   4 0.020
 20175  220.12 2109.05 18.570  1.822 16.748  89   1 0.021 6042   4 0.015
 20179   67.24 2118.95 18.367  1.964 16.403  48   0 0.024 2379   2 0.013
 20180  227.58 2119.57 18.773  2.281 16.492  89   0 0.032 6059  14 0.013
 20181   83.33 2125.55 17.793  1.787 16.007  58   0 0.014 3514   6 0.009
 20182  344.53 2125.91 18.210  2.018 16.192  90   0 0.031 6130   7 0.018
 20184   61.88 2131.81 18.560  2.061 16.498  40   0 0.025 2068   3 0.014
 20185  121.11 2133.26 18.237  1.951 16.285  82   0 0.018 4971   6 0.011
 20189  105.32 2136.55 18.651  1.952 16.698  77   0 0.029 4570   9 0.016
 20191  212.85 2147.10 18.558  2.059 16.499  89   1 0.026 6006   7 0.013
 20192  302.67 2147.76 17.736  1.420 16.317  90   0 0.015 6127   8 0.011
 20198   74.27 2172.92 18.736  2.085 16.651  53   0 0.025 2802   9 0.015
 20201   54.18 2178.75 99.999  9.999 16.913   0   0 9.999 1734   0 0.099
 20205  171.54 2185.98 18.348  1.878 16.469  90   0 0.051 5629  15 0.032
 20206  282.83 2186.21 18.230  2.215 16.014  90   0 0.022 6122  10 0.011
 20207  351.89 2190.23 17.825  1.806 16.019  90   0 0.017 6122  15 0.010
 20209  281.92 2194.16 18.217  2.049 16.168  90   0 0.021 6120  12 0.010
 20215   35.49 2204.29 99.999  9.999 16.469   0   0 9.999 1161   2 0.030
 20217   66.34 2205.65 17.954  1.119 16.835  47   1 0.019 2266   2 0.022
 20218  144.63 2207.10 17.570  1.691 15.879  86   0 0.014 5296  11 0.009
 20220  101.42 2211.88 18.344  1.977 16.367  76   0 0.025 4481   7 0.013
 20221   90.58 2213.59 17.139  1.126 16.014  63   1 0.011 4026   8 0.012
 20222   95.19 2214.80 18.061  1.910 16.151  71   1 0.020 4215   9 0.014
 20223  227.48 2215.08 17.909  2.006 15.903  90   0 0.016 6068   6 0.009
 20224  269.19 2217.30 18.404  2.254 16.150  90   0 0.023 6116  11 0.010
 20226  159.88 2221.80 17.992  1.858 16.134  89   0 0.017 5487  10 0.013
 20228   31.57 2223.50 99.999  9.999 16.290   0   0 9.999 1060   1 0.143
 20230  245.52 2225.39 17.708  1.312 16.396  90   0 0.014 6098  11 0.011
 20231  289.45 2226.38 18.220  2.037 16.182  90   0 0.019 6125   9 0.010
 20235  322.53 2229.83 17.869  1.209 16.660  90   0 0.016 6129   7 0.016
 20237   55.12 2231.77 17.938  1.242 16.696  39   0 0.022 1774   3 0.016
 20238  235.61 2231.81 18.834  2.198 16.636  90   0 0.037 6086  12 0.015
 20239   90.67 2233.98 18.562  2.119 16.443  64   0 0.023 4023  10 0.018
 20241  100.03 2240.31 18.579  1.415 17.163  75   0 0.037 4402  18 0.058
 20256   47.20 2040.32 99.999  9.999 17.929   0   0 9.999 1507   2 0.048
 20257  285.28 2051.89 18.816  2.056 16.759  90   0 0.036 6119  13 0.017
 20259   65.27 2121.94 19.784  1.440 18.344  44   0 0.077 2263   5 0.067
 20260  304.37 2144.43 18.931  1.350 17.581  90   0 0.032 6128   5 0.033
 20263  168.66 2185.86 18.509  1.446 17.062  90   0 0.047 5595   9 0.050
 20495   52.78 1987.43 19.446  2.082 17.364  38   0 0.066 1692   3 0.024
 20496  344.88 1993.18 18.683  1.830 16.853  90   0 0.025 6126  10 0.018
 20497  318.40 1989.28 18.725  1.889 16.836  89   0 0.027 6119  14 0.015
 20498  343.78 1988.25 19.056  2.008 17.048  89   1 0.033 6124  13 0.023
 20499  121.60 1989.98 19.046  2.098 16.948  81   0 0.035 4981  12 0.018
 20501  331.18 1992.19 19.026  1.980 17.045  89   0 0.034 6122   9 0.019
 20503  347.30 1996.09 99.999  9.999 18.476   0   0 9.999 6116  11 0.081
 20505  179.95 1996.78 18.706  1.435 17.271  89   0 0.027 5714   5 0.022
 20507  351.24 2000.30 18.915  1.768 17.147  89   0 0.033 6119  16 0.026
 20512  276.84 2007.69 19.024  1.728 17.296  89   0 0.038 6117  10 0.026
 20513  176.46 2009.04 19.389  2.118 17.271  89   0 0.045 5682   7 0.023
 20514  172.15 2017.22 18.588  1.224 17.364  90   0 0.021 5635   8 0.025
 20516  118.52 2018.88 19.016  2.160 16.856  81   0 0.045 4929   2 0.021
 20517   89.13 2021.10 18.977  2.078 16.899  63   0 0.033 3958   2 0.017
 20520  172.92 2024.63 19.510  2.162 17.348  88   0 0.051 5638  12 0.023
 20521  296.54 2025.66 19.336  2.060 17.276  89   0 0.043 6120  10 0.023
 20522  177.83 2026.60 18.560  1.582 16.978  89   0 0.027 5701   5 0.018
 20523  144.22 2027.28 19.768  2.324 17.444  83   0 0.064 5286   3 0.027
 20529  237.26 2034.99 20.054  2.036 18.018  89   0 0.099 6091   7 0.060
 20531  293.49 2037.45 19.278  2.093 17.185  89   0 0.039 6126   6 0.021
 20533  100.15 2043.93 18.951  1.346 17.605  74   0 0.038 4438  10 0.030
 20534  121.57 2044.03 19.306  1.767 17.539  80   0 0.049 4980   6 0.030
 20535   78.18 2046.81 19.561  2.117 17.444  54   0 0.062 3039   2 0.026
 20536  346.50 2046.47 18.802  1.605 17.197  90   0 0.030 6126   9 0.022
 20537  168.09 2048.28 18.906  1.551 17.356  89   0 0.033 5575   9 0.024
 20538  115.16 2049.26 19.022  1.765 17.257  79   0 0.035 4851   7 0.022
 20539  230.65 2051.49 19.019  2.163 16.856  90   0 0.034 6070  11 0.016
 20540  163.38 2052.43 19.003  2.008 16.995  90   0 0.038 5543   7 0.019
 20543  156.83 2056.31 18.920  1.462 17.458  87   0 0.077 5457   1 0.070
