 17521  403.52 3218.90 19.567  4.668 14.899   9   0 0.063  232   0 0.014
 17522  512.87 3227.81 18.488  3.813 14.675   9   0 0.017  232   0 0.009
 17558  358.81 3308.93 20.662  5.544 15.119   9   0 0.131  232   0 0.020
 17559  464.61 3322.54 99.999  9.999 15.688   0   0 9.999  232   0 0.106
 17560  505.53 3368.32 19.091  3.352 15.740   9   0 0.020  232   0 0.014
 17639  448.98 3215.33 20.726  4.113 16.613   9   0 0.097  232   0 0.011
 17640  439.30 3225.87 20.119  3.517 16.602   8   0 0.063  231   1 0.010
 17641  523.18 3226.07 19.854  3.811 16.044   9   0 0.060  232   0 0.011
 17643  381.23 3239.01 20.753  4.025 16.728   9   0 0.112  232   0 0.013
 17644  329.38 3241.00 19.527  3.353 16.174   9   0 0.036  231   1 0.009
 17645  401.27 3246.54 19.413  3.478 15.935   9   0 0.033  232   0 0.009
 17646  466.81 3246.39 20.604  3.954 16.650   9   0 0.093  232   0 0.013
 17647  308.54 3254.96 19.021  2.230 16.792   9   0 0.026  232   0 0.014
 17648  396.64 3261.19 19.217  2.594 16.622   9   0 0.041  232   0 0.015
 17649  326.78 3263.11 20.349  3.975 16.375   9   0 0.085  230   2 0.011
 17650  477.08 3267.41 19.516  3.542 15.974   9   0 0.020  232   0 0.010
 17651  305.13 3274.81 20.023  3.489 16.533   9   0 0.034  230   2 0.012
 17652  532.86 3281.92 20.489  3.686 16.802   9   0 0.070  232   0 0.013
 17654  349.99 3307.34 19.729  3.126 16.602   9   0 0.048  232   0 0.011
 17657  402.12 3322.43 18.176  1.462 16.714   9   0 0.020  232   0 0.014
 17659  321.23 3326.02 20.439  3.666 16.773   9   0 0.040  231   1 0.013
 17662  436.09 3349.85 20.119  3.521 16.598   9   0 0.061  232   0 0.014
 17663  418.45 3351.38 19.577  3.183 16.394   9   0 0.024  232   0 0.012
 17664  294.56 3352.90 19.502  3.271 16.231   9   0 0.040  232   0 0.013
 17666  386.15 3355.88 20.123  3.524 16.599   9   0 0.025  232   0 0.014
 17667  473.76 3358.57 19.811  3.609 16.202   9   0 0.041  232   0 0.015
 17678  399.62 3259.46 21.736  3.955 17.781   7   0 0.174  232   0 0.031
 17679  307.51 3270.78 20.341  3.134 17.207   9   0 0.078  232   0 0.018
 17680  291.80 3356.08 20.444  3.215 17.229   9   0 0.072  232   0 0.025
 17681  388.24 3360.85 19.531  2.059 17.471   9   0 0.032  231   1 0.028
 17887  457.30 3215.42 21.197  3.589 17.608   9   0 0.149  232   0 0.021
 17891  492.02 3229.68 20.705  3.205 17.500   8   0 0.083  232   0 0.019
 17893  288.39 3231.93 20.543  3.123 17.419   9   0 0.124  232   0 0.019
 17894  415.25 3231.85 19.393  1.939 17.454   9   0 0.037  232   0 0.024
 17895  532.39 3235.11 19.036  2.040 16.996   9   0 0.024  232   0 0.015
 17898  466.63 3240.05 20.665  3.497 17.168   9   0 0.093  232   0 0.017
 17901  366.06 3241.94 19.742  2.768 16.975   9   0 0.046  232   0 0.014
 17903  315.03 3250.67 20.206  3.030 17.175   9   0 0.059  232   0 0.015
 17904  431.07 3253.87 20.551  3.294 17.257   9   0 0.081  232   0 0.018
 17905  535.85 3253.73 20.872  3.387 17.486   9   0 0.119  232   0 0.022
 17906  310.42 3259.32 20.712  3.299 17.414   9   0 0.113  232   0 0.021
 17907  348.17 3259.69 20.894  3.281 17.613   8   0 0.094  232   0 0.023
 17908  453.93 3262.02 21.072  3.439 17.633   8   0 0.115  230   1 0.023
 17910  380.48 3265.02 20.985  3.526 17.459   9   0 0.075  232   0 0.019
 17915  286.33 3272.51 19.794  2.352 17.442   9   0 0.028  232   0 0.018
 17917  361.55 3282.13 20.633  2.797 17.836   9   0 0.079  232   0 0.030
 17918  412.46 3283.98 20.976  3.520 17.456   9   0 0.243  232   0 0.021
 17920  339.18 3284.37 20.060  2.600 17.461   9   0 0.055  232   0 0.020
