121238 1347.41 2344.75 17.766  3.651 14.115  32   0 0.018 1678   1 0.005
121239 1401.01 2365.51 15.733  1.901 13.831  32   0 0.004 1677   2 0.003
121241 1586.39 2390.39 16.549  3.553 12.995  32   0 0.016 1670   9 0.013
121243 1517.89 2419.49 15.860  2.086 13.774  31   1 0.005 1675   4 0.004
121245 1629.89 2481.09 13.760  9.999 99.999  32   0 0.013    0   0 9.999
121246 1470.53 2492.29 14.866  1.698 13.168  32   0 0.006 1676   3 0.008
121247 1547.34 2512.78 15.062  1.056 14.006  32   0 0.004 1667  12 0.003
121249 1404.48 2562.46 16.873  3.419 13.455  32   0 0.013 1679   0 0.010
121251 1449.39 2578.64 16.544  2.712 13.832  32   0 0.005 1675   4 0.003
121252 1555.22 2598.01 17.101  3.452 13.649  32   0 0.012 1673   6 0.005
121254 1372.95 2635.22 16.668  2.949 13.720  32   0 0.007 1679   0 0.005
121255 1443.08 2641.06 17.794  3.803 13.991  32   0 0.025 1679   0 0.008
121257 1327.30 2659.54 18.383  4.425 13.959  32   0 0.030 1679   0 0.008
121258 1306.09 2681.99 18.855  4.929 13.925  31   0 0.051 1679   0 0.100
121261 1524.68 2742.43 17.696  3.625 14.071  32   0 0.015 1676   3 0.006
121262 1411.79 2748.75 99.999  9.999 14.065   0   0 9.999 1679   0 0.067
121264 1426.46 2761.63 18.919  4.979 13.940  31   1 0.048 1679   0 0.025
121278 1339.98 2319.13 18.640  3.801 14.839  31   0 0.025 1676   3 0.005
121281 1549.11 2345.71 18.058  3.306 14.753  32   0 0.017 1671   8 0.005
121282 1372.54 2347.82 18.049  3.540 14.510  32   0 0.016 1677   2 0.005
121283 1459.41 2350.05 16.053  1.170 14.884  31   1 0.006 1675   4 0.005
121284 1409.49 2352.41 18.306  4.039 14.267  31   0 0.067 1679   0 0.029
121285 1566.87 2368.02 17.656  2.872 14.784  32   0 0.017 1674   5 0.005
121289 1313.99 2389.69 19.355  4.828 14.527  31   0 0.055 1679   0 0.014
121290 1638.75 2395.29 18.116  3.165 14.951  32   0 0.015 1666  13 0.008
121293 1540.02 2424.83 16.206  1.166 15.041  31   1 0.006 1673   6 0.005
121294 1583.29 2435.29 15.937  1.222 14.715  31   1 0.005 1664  14 0.006
121295 1579.52 2463.85 17.937  3.442 14.494  31   1 0.014 1671   8 0.007
121296 1338.47 2480.92 18.162  3.554 14.608  32   0 0.020 1678   1 0.006
121297 1436.57 2483.75 17.560  3.293 14.267  32   0 0.017 1678   1 0.004
121298 1607.96 2496.42 19.704  5.185 14.519  32   0 0.201 1677   2 0.107
121299 1575.62 2496.50 16.398  1.393 15.005  32   0 0.006 1667  12 0.005
121300 1404.13 2547.31 17.556  2.714 14.842  32   0 0.013 1678   1 0.005
121302 1511.40 2556.78 18.781  3.879 14.902  31   1 0.024 1672   7 0.006
121304 1414.55 2581.65 17.544  2.822 14.722  32   0 0.013 1677   2 0.004
121306 1435.08 2590.44 17.792  3.230 14.561  32   0 0.013 1676   3 0.004
121307 1451.53 2596.42 18.623  4.543 14.080  31   0 0.036 1679   0 0.018
121308 1343.81 2600.80 17.701  2.970 14.731  32   0 0.014 1674   5 0.005
121309 1376.11 2604.50 16.953  2.415 14.538  32   0 0.009 1676   3 0.004
121310 1334.53 2631.97 20.287  5.784 14.503  31   0 0.174 1679   0 0.055
121311 1649.65 2632.79 17.861  3.565 14.296  31   1 0.016 1661  18 0.007
121312 1311.19 2637.05 17.311  2.685 14.626  32   0 0.010 1678   1 0.005
121313 1522.94 2640.64 17.791  2.836 14.955  32   0 0.013 1674   5 0.005
121314 1641.28 2646.78 15.841  1.601 14.240  32   0 0.005 1666  13 0.005
121315 1345.31 2654.04 17.595  2.992 14.603  32   0 0.011 1676   3 0.005
121316 1468.06 2658.24 18.310  3.867 14.443  32   0 0.025 1678   1 0.005
121317 1622.56 2679.01 18.184  3.204 14.980  31   1 0.013 1666  13 0.007
121318 1639.25 2708.28 18.865  3.870 14.995  31   0 0.028 1665  14 0.008
121319 1500.12 2716.02 18.058  3.148 14.909  31   1 0.024 1678   1 0.008
121321 1440.97 2733.68 16.181  1.128 15.053  32   0 0.005 1677   2 0.006
121322 1586.29 2734.34 18.060  3.094 14.966  31   1 0.016 1662  17 0.007
121323 1509.89 2746.03 17.629  2.999 14.629  32   0 0.011 1672   7 0.006
121324 1456.37 2752.19 15.651  1.133 14.517  32   0 0.005 1677   2 0.004
