    37 1253.09 1250.62 15.923  1.504 14.418   6   0 0.011  159   0 0.004
    42 1322.36 1459.11 15.138  1.603 13.535   6   0 0.007  158   1 0.004
   135 1442.49 1170.03 17.835  3.148 14.687   6   0 0.013  159   0 0.004
   137 1336.71 1207.00 16.233  1.734 14.499   5   1 0.004  159   0 0.004
   139 1491.48 1241.24 17.853  3.139 14.715   6   0 0.011  159   0 0.004
   140 1434.74 1277.16 18.599  3.376 15.223   6   0 0.022  158   1 0.005
   151 1171.26 1403.35 18.214  3.270 14.944   5   1 0.010  159   0 0.005
   153 1249.96 1426.52 18.719  4.182 14.538   6   0 0.022  159   0 0.010
   158 1428.46 1450.37 18.263  3.336 14.927   6   0 0.013  159   0 0.004
   163 1491.33 1485.88 21.438  6.381 15.057   6   0 0.275  159   0 0.076
   167 1105.51 1548.64 18.030  3.185 14.845   6   0 0.020  159   0 0.004
   400 1296.66 1149.99 17.764  2.036 15.728   6   0 0.013  159   0 0.007
   405 1212.64 1186.38 17.138  1.776 15.362   6   0 0.011  159   0 0.005
   408 1127.18 1211.07 19.758  4.312 15.446   6   0 0.053  159   0 0.007
   413 1452.46 1227.93 19.974  3.858 16.116   5   1 0.018  158   1 0.008
   414 1474.95 1235.61 20.853  4.787 16.067   6   0 0.101  159   0 0.007
   421 1345.70 1295.59 20.797  5.289 15.508   6   0 0.046  159   0 0.018
   422 1256.91 1295.44 19.752  3.683 16.069   6   0 0.017  159   0 0.008
   426 1277.76 1326.57 20.759  4.655 16.104   5   1 0.053  159   0 0.008
   433 1220.09 1394.22 19.535  3.411 16.124   4   2 0.007  159   0 0.008
   446 1448.05 1475.03 21.927  5.788 16.138   6   0 0.351  159   0 0.018
   448 1225.34 1488.27 21.172  5.208 15.963   6   0 0.077  158   1 0.011
   450 1431.51 1505.46 99.999  9.999 15.577   0   0 9.999  159   0 0.072
   458 1425.55 1559.10 21.194  5.054 16.140   6   0 0.167  159   0 0.009
   459 1350.11 1568.67 19.662  4.017 15.645   6   0 0.039  158   1 0.009
   907 1193.01 1118.06 20.188  3.517 16.670   6   0 0.111  159   0 0.011
   917 1406.46 1136.53 20.451  4.001 16.451   6   0 0.056  158   1 0.009
   937 1104.70 1190.34 20.738  4.073 16.665   5   1 0.033  159   0 0.010
   950 1321.83 1214.45 20.387  3.917 16.470   6   0 0.045  159   0 0.010
   951 1123.68 1217.02 20.602  3.978 16.625   5   1 0.035  158   1 0.012
   957 1144.08 1231.92 19.070  2.181 16.889   6   0 0.023  159   0 0.012
   971 1230.85 1282.11 19.711  3.341 16.369   6   0 0.025  159   0 0.009
   975 1377.90 1292.47 20.369  3.904 16.465   6   0 0.048  159   0 0.010
   980 1517.28 1297.08 18.235  1.911 16.324   5   1 0.005  159   0 0.009
   981 1137.53 1297.70 20.293  3.417 16.876   6   0 0.025  158   1 0.011
   984 1207.96 1314.91 20.328  3.434 16.894   6   0 0.059  159   0 0.012
   988 1438.06 1326.83 21.239  4.386 16.854   6   0 0.029  159   0 0.013
   991 1282.62 1333.45 20.619  3.791 16.828   6   0 0.038  158   1 0.012
   994 1229.53 1338.54 20.362  3.574 16.788   6   0 0.044  159   0 0.011
   996 1164.36 1341.60 20.179  3.761 16.418   6   0 0.038  159   0 0.010
  1002 1111.06 1359.42 19.522  3.278 16.244   5   1 0.038  159   0 0.008
  1003 1509.46 1359.06 20.117  3.835 16.282   6   0 0.029  159   0 0.008
  1009 1434.53 1372.52 20.065  3.403 16.662   6   0 0.039  159   0 0.010
  1017 1366.25 1402.68 21.039  4.139 16.900   6   0 0.155  159   0 0.013
  1021 1405.01 1411.28 20.091  3.769 16.322   6   0 0.031  159   0 0.009
  1031 1248.59 1456.52 20.877  3.931 16.946   6   0 0.091  159   0 0.013
  1037 1170.32 1477.94 20.233  3.810 16.423   5   1 0.023  159   0 0.008
  1040 1105.84 1492.49 21.063  3.977 17.086   6   0 0.129  159   0 0.014
  1048 1308.00 1520.93 20.607  3.476 17.132   4   2 0.032  159   0 0.014
  1051 1176.40 1526.14 20.438  3.507 16.931   6   0 0.091  159   0 0.013
  1054 1113.45 1533.57 20.419  3.355 17.065   5   1 0.043  159   0 0.015
  1057 1477.75 1546.08 20.002  3.548 16.454   6   0 0.042  159   0 0.010
  1058 1306.04 1547.93 20.463  3.552 16.911   6   0 0.072  158   1 0.012
  1063 1129.38 1559.24 20.739  4.154 16.585   6   0 0.046  159   0 0.010
  1065 1472.90 1561.14 21.093  4.032 17.060   5   1 0.038  158   1 0.011
  1067 1319.62 1563.89 20.759  3.597 17.162   6   0 0.181  159   0 0.014
  1070 1139.33 1574.52 20.474  3.913 16.561   5   1 0.030  158   1 0.009
  1287 1283.99 1336.10 21.322  3.633 17.688   6   0 0.194  159   0 0.027
  2477 1217.26 1118.80 20.884  2.826 18.058   4   2 0.024  159   0 0.027
  2480 1499.18 1122.83 21.669  3.584 18.085   6   0 0.093  158   0 0.031
  2486 1456.21 1131.55 21.637  3.664 17.972   5   0 0.046  159   0 0.026
  2490 1354.03 1134.55 21.829  3.926 17.903   6   0 0.120  159   0 0.028
  2492 1152.61 1140.55 20.828  3.424 17.404   6   0 0.060  159   0 0.017
  2499 1459.06 1144.88 20.552  2.974 17.578   5   1 0.059  159   0 0.021
  2506 1217.45 1150.32 21.627  3.653 17.973   6   0 0.145  159   0 0.028
  2521 1300.57 1170.52 21.425  3.742 17.683   6   0 0.178  159   0 0.020
  2527 1413.50 1176.71 21.747  3.750 17.997   5   1 0.117  159   0 0.025
  2530 1116.00 1178.87 20.709  3.198 17.511   6   0 0.054  158   1 0.016
  2532 1190.96 1181.46 19.403  2.206 17.197   5   1 0.009  159   0 0.016
  2533 1504.34 1181.04 21.504  3.781 17.724   6   0 0.087  159   0 0.023
  2536 1389.03 1182.65 21.537  3.616 17.921   5   1 0.050  159   0 0.025
  2540 1290.76 1186.51 21.437  3.566 17.872   5   1 0.061  159   0 0.026
  2541 1409.35 1188.53 21.179  3.645 17.535   6   0 0.137  159   0 0.018
  2546 1342.44 1193.49 19.975  2.457 17.518   6   0 0.051  159   0 0.018
  2549 1200.21 1196.04 21.349  3.739 17.611   5   0 0.131  159   0 0.019
  2550 1238.79 1195.76 21.191  3.613 17.578   6   0 0.123  159   0 0.020
  2558 1305.91 1206.88 21.261  3.470 17.790   6   0 0.099  159   0 0.022
  2568 1234.85 1213.34 20.852  3.367 17.486   6   0 0.130  159   0 0.018
  2571 1420.41 1215.95 21.054  3.313 17.741   6   0 0.142  158   1 0.020
  2572 1307.26 1216.63 20.752  3.163 17.588   6   0 0.067  158   1 0.018
  2575 1180.36 1218.05 21.406  3.525 17.881   6   0 0.276  159   0 0.022
  2577 1197.53 1218.73 21.349  3.470 17.879   5   1 0.042  159   0 0.026
  2580 1469.59 1221.00 21.490  3.487 18.003   5   1 0.110  159   0 0.026
  2583 1304.81 1224.05 20.893  3.336 17.557   4   2 0.021  159   0 0.021
  2584 1124.09 1225.54 20.875  3.723 17.152   6   0 0.100  159   0 0.016
  2585 1206.84 1226.55 20.967  3.354 17.613   6   0 0.044  159   0 0.021
  2588 1367.00 1228.36 20.962  3.524 17.438   6   0 0.129  159   0 0.017
  2596 1151.90 1231.89 21.029  3.370 17.659   6   0 0.116  159   0 0.022
  2599 1308.09 1234.19 21.079  3.463 17.617   6   0 0.109  159   0 0.020
  2600 1438.96 1234.03 21.187  3.537 17.650   6   0 0.122  159   0 0.019
  2612 1186.72 1249.03 21.292  3.543 17.749   6   0 0.144  159   0 0.021
  2619 1181.14 1253.15 21.453  3.547 17.907   6   0 0.183  159   0 0.026
  2624 1513.13 1254.89 21.618  3.740 17.878   5   0 0.119  159   0 0.026
  2627 1112.86 1257.27 20.468  2.473 17.995   6   0 0.065  158   1 0.027
  2628 1437.31 1257.47 20.892  3.020 17.872   6   0 0.076  159   0 0.026
  2637 1343.22 1262.73 21.457  3.665 17.792   6   0 0.140  159   0 0.024
  2638 1349.57 1263.28 21.306  3.620 17.686   6   0 0.185  159   0 0.021
  2642 1270.53 1266.30 21.616  3.753 17.863   6   0 0.289  159   0 0.024
  2643 1467.99 1268.41 20.913  3.695 17.218   6   0 0.123  159   0 0.014
  2645 1264.48 1268.70 20.920  3.535 17.385   5   1 0.035  159   0 0.018
  2653 1513.16 1273.81 21.641  3.683 17.957   6   0 0.188  158   0 0.022
  2656 1138.77 1276.18 21.376  3.412 17.964   6   0 0.086  159   0 0.028
  2657 1184.44 1276.81 20.675  3.381 17.294   6   0 0.090  159   0 0.013
  2662 1169.32 1282.86 21.332  3.497 17.835   5   0 0.129  158   1 0.019
  2664 1375.24 1285.55 21.304  3.577 17.727   6   0 0.048  159   0 0.024
  2666 1477.88 1288.26 21.007  3.492 17.515   6   0 0.137  159   0 0.019
  2667 1539.01 1288.04 21.366  3.779 17.588   6   0 0.096  159   0 0.021
  2671 1150.46 1295.86 21.235  3.503 17.732   6   0 0.175  159   0 0.021
  2676 1266.87 1304.24 21.442  3.782 17.660   6   0 0.319  158   1 0.021
  2690 1174.60 1314.74 21.152  3.522 17.630   4   2 0.012  159   0 0.018
  2691 1262.91 1316.45 21.212  3.587 17.625   6   0 0.046  159   0 0.021
  2699 1481.48 1321.10 21.802  3.907 17.895   6   0 0.276  159   0 0.023
  2703 1343.34 1325.99 20.784  3.550 17.235   5   1 0.070  159   0 0.014
  2704 1229.11 1327.09 20.642  3.257 17.385   6   0 0.103  158   1 0.015
  2707 1091.87 1330.58 21.251  3.955 17.296   6   0 0.171  159   0 0.015
  2710 1388.82 1331.05 21.697  4.052 17.645   5   0 0.125  159   0 0.019
  2713 1426.27 1332.96 21.141  3.535 17.605   5   1 0.033  159   0 0.022
  2717 1102.57 1334.72 21.222  3.578 17.644   6   0 0.081  158   1 0.020
