 40026  435.03 3986.88 17.118  4.360 12.758  82   0 0.097  993   0 0.054
 40027  307.75 3999.06 15.815  2.447 13.368  82   0 0.011  992   1 0.009
 40028  359.73 4002.05 16.983  9.999 99.999  82   0 0.208    0   0 9.999
 40031  405.61 4074.76 17.005  4.095 12.909  82   0 0.075  993   0 0.037
 40033  265.21 4107.46 18.149  4.621 13.528  82   0 0.084  985   0 0.050
 40034  341.78 4112.13 15.137  2.442 12.694  81   0 0.013  980   2 0.014
 40035  287.52 4155.38 16.740  2.786 13.954  76   0 0.011  956   3 0.005
 40037  476.26 4167.66 16.130  2.063 14.067  74   0 0.008  943   2 0.004
 40038  414.49 4171.77 15.504  1.707 13.797  74   0 0.008  941   2 0.004
 40042  256.27 4219.96 14.528  9.999 99.999  65   0 0.015    0   0 9.999
 40043  538.10 4270.68 16.447  2.236 14.211  51   0 0.011  539   0 0.008
 40045  418.58 4280.33 16.191  2.304 13.887  38   0 0.011  435   0 0.006
 40051  302.63 3983.02 16.255  2.058 14.197  82   0 0.008  993   0 0.005
 40052  467.44 3982.45 17.138  2.197 14.941  82   0 0.010  992   1 0.005
 40054  287.63 3992.99 16.742  2.424 14.318  82   0 0.013  993   0 0.005
 40055  319.96 3993.19 16.688  1.840 14.849  82   0 0.007  992   1 0.005
 40057  516.07 4013.76 16.804  2.095 14.709  82   0 0.007  993   0 0.005
 40058  326.53 4017.43 17.070  2.319 14.751  82   0 0.009  991   2 0.005
 40060  410.24 4047.46 16.210  1.203 15.007  81   1 0.006  992   1 0.005
 40061  323.73 4066.06 16.939  2.194 14.744  82   0 0.010  992   1 0.005
 40064  455.50 4088.57 16.869  2.464 14.405  82   0 0.009  992   1 0.005
 40065  331.96 4101.48 16.729  1.690 15.039  82   0 0.008  984   4 0.006
 40066  489.39 4102.97 16.346  1.826 14.520  82   0 0.008  985   3 0.005
 40067  450.94 4114.82 16.996  1.919 15.077  81   0 0.009  975   5 0.005
 40068  303.42 4124.68 17.306  2.175 15.130  81   0 0.011  973   2 0.006
 40070  304.99 4181.08 16.148  1.445 14.704  72   1 0.008  929   0 0.005
 40072  300.88 4206.85 16.207  1.826 14.381  67   0 0.007  892   1 0.004
 40073  472.79 4232.57 16.744  1.733 15.011  62   1 0.008  842   0 0.005
 40075  384.91 4236.23 16.677  1.633 15.045  63   0 0.009  826   3 0.005
 40076  414.15 4236.99 16.606  1.815 14.791  63   0 0.009  824   0 0.004
 40077  358.98 4246.00 15.470  0.915 14.555  62   0 0.007  794   1 0.004
 40078  257.62 4273.94 15.722  1.309 14.413  45   0 0.008  497   1 0.006
 40079  313.59 4275.24 16.662  1.719 14.943  44   0 0.009  491   0 0.006
 40080  480.40 4279.25 16.820  2.013 14.807  38   0 0.010  443   0 0.006
 40081  377.99 4286.40 16.518  1.776 14.743  32   0 0.009  381   2 0.007
 40083  540.76 4295.47 15.395  9.999 99.999  27   0 0.007    0   0 9.999
 40090  441.63 3971.40 16.614  1.429 15.185  82   0 0.007  991   2 0.006
 40092  296.72 3984.41 16.485  1.029 15.456  82   0 0.008  993   0 0.010
 40094  273.32 3992.74 99.999  9.999 15.677   0   0 9.999  993   0 0.010
 40095  356.23 4004.05 16.974  9.999 99.999  82   0 0.081    0   0 9.999
 40096  406.46 4008.12 16.137  1.008 15.130  82   0 0.008  990   3 0.005
 40097  536.97 4008.57 17.379  2.073 15.306  82   0 0.014  990   3 0.007
 40099  449.46 4021.93 17.304  1.912 15.392  81   1 0.009  991   2 0.006
 40101  438.97 4029.16 17.721  1.939 15.782  82   0 0.014  992   1 0.008
 40102  439.33 4034.77 17.843  2.049 15.794  82   0 0.018  993   0 0.008
 40103  517.01 4035.75 17.349  2.022 15.328  81   1 0.014  991   2 0.008
 40105  281.64 4045.14 17.648  2.027 15.621  82   0 0.014  991   2 0.007
 40110  467.96 4070.54 17.735  1.882 15.853  82   0 0.013  991   2 0.008
 40111  331.09 4077.28 17.445  1.703 15.742  82   0 0.010  993   0 0.007
 40114  427.21 4098.74 17.452  2.062 15.390  81   1 0.012  987   3 0.006
 40115  352.16 4103.99 16.525  1.030 15.494  82   0 0.007  986   2 0.010
 40116  510.95 4123.10 17.915  1.882 16.033  81   0 0.024  974   1 0.013
 40117  303.68 4134.06 17.680  1.884 15.796  81   0 0.014  968   3 0.009
 40122  535.21 4160.50 17.559  1.862 15.696  75   0 0.012  954   0 0.009
 40123  525.31 4166.72 17.163  2.017 15.145  74   0 0.009  946   1 0.006
 40124  268.60 4175.09 16.911  1.763 15.148  73   0 0.009  934   0 0.006
 40125  383.94 4180.93 17.348  1.806 15.542  73   0 0.013  929   0 0.008
 40126  373.53 4183.06 17.360  1.925 15.434  73   0 0.014  927   1 0.008
 40128  523.40 4197.15 16.810  1.086 15.724  69   1 0.010  905   1 0.008
 40129  479.58 4197.71 17.235  1.279 15.956  70   0 0.030  905   0 0.019
 40130  462.99 4203.30 17.736  1.931 15.805  67   0 0.015  897   2 0.008
 40131  531.22 4208.02 17.363  2.041 15.322  67   0 0.012  893   0 0.008
 40134  377.64 4232.85 17.088  1.684 15.403  63   0 0.012  840   2 0.006
 40136  543.65 4236.19 16.403  1.303 15.100  63   0 0.008  825   4 0.007
 40137  274.90 4245.71 17.299  2.003 15.296  62   0 0.010  798   3 0.006
 40139  305.45 4250.48 17.645  1.728 15.918  61   0 0.011  769   1 0.008
