131189 1560.03 1235.93 17.146  1.909 15.237  89   1 0.009 6130   9 0.006
131191 1612.00 1235.61 17.635  1.609 16.026  90   0 0.014 6129   8 0.010
131192 1470.87 1237.54 16.529  1.048 15.482  90   0 0.006 6127  12 0.006
131195 1418.04 1241.21 17.835  1.892 15.943  89   1 0.013 6130   9 0.008
131196 1562.25 1250.22 17.182  1.864 15.318  89   1 0.010 6120  19 0.006
131197 1431.32 1251.63 16.866  1.642 15.224  90   0 0.009 6134   5 0.007
131199 1415.04 1253.56 16.744  1.018 15.726  90   0 0.008 6126  13 0.008
131203 1645.99 1274.37 17.839  1.809 16.029  90   0 0.018 6123  12 0.011
131204 1548.84 1275.52 17.077  1.683 15.394  90   0 0.009 6128  11 0.006
131206 1605.47 1282.56 16.660  1.120 15.539  90   0 0.007 6124  13 0.007
131209 1567.84 1295.75 17.076  1.729 15.347  90   0 0.007 6125  14 0.006
131214 1519.26 1309.48 16.894  1.298 15.595  90   0 0.008 6127  12 0.006
131217 1535.41 1325.26 17.033  1.745 15.288  90   0 0.009 6125  14 0.006
131218 1568.84 1325.60 16.708  1.539 15.169  90   0 0.008 6123  16 0.005
131221 1409.89 1336.97 17.048  1.613 15.435  90   0 0.009 6128  11 0.006
131223 1423.54 1339.36 17.164  1.551 15.614  90   0 0.008 6131   8 0.007
131225 1506.20 1343.41 17.244  1.890 15.354  90   0 0.011 6129  10 0.006
131230 1438.64 1357.38 17.107  1.867 15.240  90   0 0.010 6131   8 0.006
131231 1477.06 1357.40 16.508  1.076 15.432  89   1 0.007 6126  13 0.006
131232 1420.80 1363.42 17.549  1.821 15.727  90   0 0.012 6130   9 0.007
131234 1453.66 1367.04 17.195  1.726 15.469  90   0 0.009 6131   8 0.007
131235 1505.69 1366.06 17.450  1.750 15.700  89   1 0.011 6128  11 0.007
131241 1566.25 1388.62 17.459  1.979 15.480  90   0 0.011 6132   7 0.006
131244 1600.82 1406.32 16.812  1.613 15.199  90   0 0.008 6126  10 0.005
131245 1526.15 1411.80 17.902  2.060 15.842  90   0 0.014 6131   8 0.008
131246 1447.16 1421.43 17.369  1.368 16.001  90   0 0.011 6133   6 0.009
131248 1625.03 1423.02 17.685  1.884 15.801  90   0 0.014 6119  18 0.008
131251 1410.62 1431.26 17.517  1.775 15.742  89   1 0.012 6129  10 0.007
131255 1592.14 1450.07 17.071  1.704 15.367  90   0 0.010 6124  15 0.007
131260 1591.89 1458.46 17.136  1.788 15.348  89   1 0.009 6128  11 0.006
131263 1586.80 1461.09 17.490  1.709 15.781  90   0 0.012 6129   9 0.009
131264 1516.24 1465.55 16.789  1.683 15.106  90   0 0.008 6130   9 0.005
131265 1545.36 1468.19 17.041  1.716 15.324  90   0 0.008 6123  16 0.006
131266 1619.71 1484.18 17.117  1.875 15.242  90   0 0.010 6130   7 0.006
131267 1443.05 1487.74 16.940  1.052 15.888  90   0 0.008 6125  14 0.008
131268 1629.98 1498.19 17.310  1.709 15.601  90   0 0.011 6124  13 0.007
131269 1437.68 1498.28 17.427  1.543 15.884  90   0 0.013 6122  17 0.008
131270 1478.86 1500.75 17.810  1.897 15.913  90   0 0.015 6127  12 0.008
131273 1529.98 1508.89 17.690  1.656 16.034  90   0 0.013 6132   7 0.010
131275 1635.25 1511.73 17.048  1.884 15.164  90   0 0.008 6125  12 0.006
131277 1535.77 1514.86 17.198  1.994 15.204  89   1 0.016 6136   3 0.009
131278 1646.58 1513.89 17.674  1.882 15.792  90   0 0.014 6125  12 0.010
131280 1511.76 1518.62 17.647  1.845 15.803  90   0 0.031 6136   3 0.027
131281 1419.41 1524.60 17.121  1.790 15.330  90   0 0.009 6128  11 0.006
131282 1442.13 1529.92 17.715  1.866 15.849  90   0 0.019 6130   9 0.011
131284 1474.72 1532.28 17.223  1.974 15.250  90   0 0.009 6128  11 0.006
131285 1512.58 1536.73 17.057  1.814 15.243  89   1 0.008 6125  14 0.006
131287 1550.98 1542.11 17.071  1.806 15.265  90   0 0.010 6127  12 0.006
131288 1438.82 1542.68 17.435  1.874 15.562  89   1 0.011 6124  15 0.007
131291 1591.21 1545.70 17.649  1.681 15.968  90   0 0.015 6123  16 0.020
131297 1439.78 1575.77 17.110  1.613 15.497  90   0 0.010 6129  10 0.006
131298 1475.44 1575.85 17.482  2.132 15.350  90   0 0.012 6130   9 0.006
131299 1541.92 1576.56 17.404  1.931 15.473  90   0 0.012 6128  11 0.008
131301 1611.61 1580.17 17.234  1.637 15.598  90   0 0.008 6126  11 0.007
131302 1495.01 1584.83 17.282  2.067 15.215  88   2 0.009 6131   8 0.005
131305 1601.29 1588.38 17.192  1.845 15.347  90   0 0.010 6125  10 0.007
131306 1420.42 1591.24 16.855  1.145 15.709  90   0 0.007 6127  12 0.007
131307 1639.45 1592.63 16.988  1.716 15.272  90   0 0.009 6131   6 0.008
131311 1471.20 1626.52 17.117  1.679 15.438  89   1 0.009 6128  11 0.006
131316 1486.10 1635.68 99.999  9.999 15.627   0   0 9.999 6127  12 0.007
131319 1571.36 1643.33 17.289  2.062 15.227  90   0 0.013 6128  11 0.006
131320 1403.49 1648.22 16.606  1.056 15.550  90   0 0.006 6131   8 0.007
131322 1424.86 1654.56 17.086  1.831 15.255  90   0 0.009 6128  11 0.006
131323 1440.02 1659.11 17.559  1.700 15.860  90   0 0.012 6132   7 0.008
131325 1501.98 1662.73 17.785  1.855 15.930  90   0 0.015 6135   4 0.008
131330 1572.01 1682.78 16.930  1.571 15.359  90   0 0.008 6127  12 0.006
131334 1647.29 1278.24 19.256  1.550 17.706  90   0 0.058 6128   7 0.059
131336 1616.98 1485.35 17.633  1.573 16.061  90   0 0.018 6129   8 0.013
131337 1638.53 1510.91 18.525  1.907 16.618  90   0 0.031 6127   9 0.021
131338 1408.72 1653.07 19.254  0.837 18.417  90   0 0.052 6122   9 0.065
131382 1460.73 1242.37 18.665  1.784 16.882  90   0 0.032 6123  16 0.019
131383 1504.18 1243.30 99.999  9.999 16.021   0   0 9.999 6132   7 0.017
131386 1555.58 1247.47 17.237  0.636 16.601  90   0 0.010 6126  13 0.015
131387 1420.45 1248.85 17.936  1.680 16.256  90   0 0.017 6129  10 0.012
131389 1622.51 1252.65 17.871  1.234 16.637  90   0 0.019 6125  12 0.018
131390 1536.77 1257.64 17.653  1.137 16.516  90   0 0.014 6133   6 0.013
131393 1441.56 1266.22 17.870  1.488 16.382  90   0 0.015 6128  11 0.012
