141958 2065.15 2397.88 18.380  2.454 15.926  21   0 0.018  413   0 0.008
141959 2123.11 2413.87 18.389  2.470 15.919  21   1 0.012  399   2 0.008
141960 1938.15 2414.64 18.003  2.179 15.825  22   0 0.010  415   2 0.007
141961 1839.69 2420.20 18.098  2.337 15.762  22   0 0.012  417   0 0.006
141962 2108.50 2423.02 18.683  2.632 16.051  21   0 0.018  404   1 0.009
141963 1999.28 2427.94 18.513  2.428 16.085  21   0 0.016  413   2 0.010
141964 1984.10 2432.43 17.012  1.675 15.337  22   0 0.009  416   0 0.006
141965 2072.76 2433.89 18.508  2.615 15.893  21   0 0.016  409   3 0.008
141967 1920.73 2441.60 17.797  2.325 15.472  22   0 0.015  415   3 0.006
141968 2142.21 2441.03 18.546  2.552 15.995  20   1 0.016  395   0 0.021
141970 1957.49 2448.23 17.995  2.424 15.571  22   0 0.015  417   0 0.007
141971 1922.60 2449.99 18.433  2.292 16.141  21   0 0.017  418   0 0.009
141972 1942.10 2450.73 18.464  2.845 15.619  21   0 0.021  418   0 0.007
141973 1949.44 2456.28 18.353  2.282 16.071  22   0 0.019  415   1 0.009
141974 2059.80 2458.65 18.612  2.615 15.997  21   0 0.017  411   1 0.008
141975 2050.36 2463.08 18.516  2.420 16.096  21   0 0.014  412   1 0.008
141976 2183.56 2463.50 18.399  2.476 15.923  18   1 0.018  355   0 0.008
141977 2029.03 2466.66 18.360  2.366 15.995  21   0 0.016  412   3 0.008
141978 1918.64 2478.71 18.320  2.683 15.638  22   0 0.018  415   3 0.006
141979 1827.67 2483.59 18.660  2.531 16.129  21   0 0.028  417   0 0.008
141980 2051.85 2485.06 18.596  2.594 16.001  20   1 0.015  413   0 0.008
141981 1865.51 2487.22 18.701  2.528 16.173  21   0 0.016  415   2 0.011
141982 2016.15 2488.38 17.906  2.515 15.392  22   0 0.013  414   1 0.005
141983 1869.36 2490.58 18.423  2.618 15.805  21   1 0.024  416   2 0.008
141984 1909.14 2490.97 18.346  2.938 15.407  21   0 0.023  417   0 0.005
141985 2092.89 2493.33 18.604  2.663 15.941  22   0 0.021  408   0 0.010
141986 2159.77 2494.10 18.368  2.459 15.909  21   1 0.010  384   2 0.008
141988 1807.99 2503.92 17.948  1.834 16.114  22   0 0.010  414   3 0.008
141990 2147.41 2521.71 17.424  1.651 15.773  22   0 0.133  394   0 0.083
141992 1818.05 2526.25 18.413  2.386 16.027  21   0 0.016  417   0 0.008
141994 2079.30 2536.09 18.483  2.461 16.022  21   0 0.015  409   0 0.009
141995 2086.35 2544.86 17.924  2.488 15.436  22   0 0.014  410   0 0.006
141996 1940.37 2545.92 18.680  3.176 15.504  21   0 0.022  418   0 0.007
141997 2068.90 2558.91 17.906  2.318 15.588  22   0 0.016  412   0 0.007
141998 2151.09 2574.40 17.810  2.185 15.625  22   0 0.017  391   0 0.006
141999 2108.58 2580.74 18.142  2.502 15.640  21   0 0.016  406   0 0.006
142000 1932.52 2584.01 18.307  2.263 16.044  21   0 0.019  416   1 0.008
142001 2082.69 2586.91 17.857  2.255 15.603  22   0 0.011  407   3 0.007
142002 1806.09 2595.35 17.139  1.589 15.549  22   0 0.011  418   0 0.008
142006 1877.86 2624.08 18.383  2.881 15.502  22   0 0.016  418   0 0.008
142008 1909.96 2632.88 18.713  2.751 15.962  21   0 0.020  416   1 0.007
142009 1783.25 2633.57 18.378  2.541 15.837  22   0 0.021  416   2 0.008
142010 2141.16 2634.07 17.962  2.339 15.623  22   0 0.013  395   1 0.006
142011 1859.60 2635.14 18.351  2.532 15.819  21   0 0.012  417   0 0.007
142012 1839.80 2640.73 18.021  2.496 15.525  22   0 0.012  418   0 0.008
142013 2181.90 2640.58 17.896  2.459 15.436  20   0 0.017  359   0 0.007
142014 1901.20 2641.10 17.529  1.656 15.873  22   0 0.007  417   1 0.008
142017 1972.33 2648.13 18.314  2.161 16.153  22   0 0.032  416   0 0.011
