# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_1372.dat PSPL     2460947.484 0.024299 48.343 0.000000 0.00000 0.00000 0.00000 3653.69142 0.000 0.000
WFIRST_1601.dat PSPL     2460967.362 0.786432 23.867 0.000000 0.00000 0.00000 0.00000 256.74397 0.000 0.000
WFIRST_0384.dat PSPL     2460968.578 0.665294 31.914 0.000000 0.00000 0.00000 0.00000 984.89247 0.000 0.000
WFIRST_0238.dat PSPL     2460946.785 0.599559 46.811 0.000000 0.00000 0.00000 0.00000 1144.69280 0.000 0.000
WFIRST_1068.dat PSPL     2460949.055 0.893167 83.040 0.000000 0.00000 0.00000 0.00000 274.21230 0.000 0.000
WFIRST_2263.dat PSPL     2460958.750 0.597225 44.918 0.000000 0.00000 0.00000 0.00000 49.19909 0.000 0.000
WFIRST_1889.dat PSPL     2460948.245 0.123282 8.160 0.000000 0.00000 0.00000 0.00000 862.54660 0.000 0.000
WFIRST_0657.dat PSPL     2460956.119 0.173912 10.060 0.000000 0.00000 0.00000 0.00000 54.99363 0.000 0.000
WFIRST_2100.dat PSPL     2460950.235 0.372701 58.616 0.000000 0.00000 0.00000 0.00000 2080.37598 0.000 0.000
WFIRST_1630.dat PSPL     2460968.997 0.070982 39.450 0.000000 0.00000 0.00000 0.00000 74.02416 0.000 0.000
WFIRST_0285.dat PSPL     2460969.156 0.065139 76.282 0.000000 0.00000 0.00000 0.00000 49.04962 0.000 0.000
WFIRST_1943.dat PSPL     2460969.989 0.673193 63.561 0.000000 0.00000 0.00000 0.00000 690.27110 0.000 0.000
WFIRST_1686.dat PSPL     2460948.468 0.193683 37.695 0.000000 0.00000 0.00000 0.00000 4405.67404 0.000 0.000
WFIRST_2416.dat PSPL     2460948.621 0.150658 48.917 0.000000 0.00000 0.00000 0.00000 62.65559 0.000 0.000
WFIRST_1397.dat PSPL     2460950.369 0.820168 79.370 0.000000 0.00000 0.00000 0.00000 2082.02378 0.000 0.000
WFIRST_0606.dat Binary   2460950.488 0.144149 7.179 0.000604 -0.01231 -0.07407 -2.67053 26.80874 0.000 0.000
WFIRST_2436.dat Binary   2460971.007 0.035885 30.590 0.003177 0.13448 -0.35413 0.20060 102.86393 0.000 0.000
WFIRST_1950.dat Binary   2460947.685 0.183903 84.868 0.001550 0.06564 -0.22671 -1.89609 47.32213 0.000 0.000
WFIRST_1885.dat Binary   2460945.144 0.026630 12.476 0.004877 0.03068 -0.61880 0.09285 960.58046 0.000 0.000
WFIRST_1865.dat Binary   2460945.381 0.047438 45.554 0.000606 0.04863 -0.80953 0.20670 2437.20284 0.000 0.000
WFIRST_2282.dat GLPlanet 2460953.304 0.430674 68.015 0.000441 -0.10892 -4.73462 2.14357 1256.57901 0.000 18.186
WFIRST_1203.dat GLPlanet 2460963.929 0.469520 76.669 0.000785 -0.11401 -4.55411 2.03694 694.94679 0.000 19.046
WFIRST_0743.dat GLPlanet 2460957.201 0.238332 32.852 0.001627 -0.13184 -4.04617 0.43019 2028.15439 0.000 -18.692
WFIRST_0364.dat GLPlanet 2460959.135 0.436377 45.919 0.000108 -0.11469 -4.27107 2.21480 61.30524 0.000 14.176
WFIRST_2090.dat GLPlanet 2460956.798 0.329403 58.842 0.001565 -0.12046 -4.01787 2.55233 26.19917 0.000 26.813
WFIRST_0127.dat GLPlanet 2460958.571 0.361238 48.098 0.000560 -0.11426 -4.20158 2.42680 3047.88567 0.000 18.819
WFIRST_2214.dat GLPlanet 2460959.007 0.357995 67.303 0.000665 -0.10627 -4.58036 2.31097 792.65050 0.000 22.948
WFIRST_1867.dat GLPlanet 2460951.850 0.390518 87.812 0.000286 -0.10532 -4.24866 2.25009 26.93706 0.000 25.991
WFIRST_2349.dat GLPlanet 2460957.306 0.004901 39.272 0.000371 -0.12127 -4.32681 -3.12467 91.02198 0.000 22.225
WFIRST_0969.dat GLPlanet 2460945.131 0.493064 50.845 0.000802 -0.12162 -4.24139 2.11747 74.19810 0.000 14.304
WFIRST_1567.dat GLPlanet 2460944.279 0.439477 58.289 0.000365 -0.11571 -4.36867 2.16410 5699.10103 0.000 18.228
WFIRST_1584.dat GLPlanet 2460947.841 0.452151 97.832 0.001319 -0.10720 -4.40921 2.03231 33.73863 0.000 20.623
WFIRST_0680.dat GLPlanet 2460966.699 0.329439 39.421 0.001132 -0.11082 -4.40102 0.66749 26.93506 0.000 -15.658
WFIRST_2073.dat GLPlanet 2460950.990 0.178277 35.536 0.000944 -0.13351 -4.19275 2.82415 132.52431 0.000 21.280
WFIRST_2255.dat GLPlanet 2460948.160 0.382167 67.920 0.001615 -0.10247 -4.31156 0.90158 192.22303 0.000 -19.329
WFIRST_2245.dat NCPlanet 2460946.257 0.161130 19.998 0.005557 -0.14855 -4.30016 0.24407 2574.17883 0.000 -13.614
WFIRST_1983.dat NCPlanet 2460949.493 0.463715 71.532 0.000309 -0.11289 -4.20114 2.03322 482.88675 0.000 17.820
WFIRST_1418.dat NCPlanet 2460964.521 0.186422 11.828 0.003589 -0.18628 -4.18928 0.18271 41.94513 0.000 -10.242
WFIRST_0349.dat NCPlanet 2460951.431 0.034313 44.001 0.000593 -0.10725 -4.85979 0.05201 5423.17187 0.000 -21.907
WFIRST_2464.dat NCPlanet 2460949.997 0.342657 55.162 0.000995 -0.11927 -4.51550 0.63940 1094.49860 0.000 -24.237
WFIRST_1185.dat HMPlanet 2460971.369 0.000102 82.679 0.000024 -0.16891 -4.04688 -0.83945 2951.85148 0.000 0.000
WFIRST_1367.dat HMPlanet 2460967.124 0.000616 98.635 0.000868 -0.21091 -4.64903 -0.95183 832.26441 0.000 0.000
WFIRST_0790.dat HMPlanet 2460963.450 0.000598 49.673 0.000282 -0.17727 -4.35135 -1.12592 35.93924 0.000 0.000
WFIRST_1458.dat HMPlanet 2460959.115 0.000051 68.673 0.000446 -0.27131 -4.40757 -2.31863 2187.68927 0.000 0.000
